"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Sox17","Sox17","epoch1",-0.189018247277772
"Prdm14","Prdm14","epoch1",0.249987476175464
"Eya1","Eya1","epoch1",-0.078664690943487
"Sema4c","Sema4c","epoch1",-0.290765418154011
"Fhl2","Fhl2","epoch1",-0.165255827163354
"Slc40a1","Slc40a1","epoch1",0.300751457644452
"1700019D03Rik","1700019D03Rik","epoch1",0.482574176061684
"Pgap1","Pgap1","epoch1",0.20610342043432
"Hspd1","Hspd1","epoch1",0.262293537524738
"Klf7","Klf7","epoch1",-0.0393109526301088
"Mreg","Mreg","epoch1",0.483716434932619
"Igfbp5","Igfbp5","epoch1",-0.478636574139166
"Epha4","Epha4","epoch1",-0.282369143636422
"Pax3","Pax3","epoch1",-0.301029183547422
"Kif1a","Kif1a","epoch1",-0.184543548264622
"Tmem37","Tmem37","epoch1",-0.131932634007204
"Dbi","Dbi","epoch1",-0.255721191210298
"Cxcr4","Cxcr4","epoch1",-0.330959266330893
"Mapkapk2","Mapkapk2","epoch1",-0.591734618774755
"Elf3","Elf3","epoch1",0.336775830417528
"Nr5a2","Nr5a2","epoch1",0.580542153247695
"Ier5","Ier5","epoch1",-0.448792811617876
"Prdx6","Prdx6","epoch1",0.232090476384657
"Prrx1","Prrx1","epoch1",-0.0880057222564295
"Pou2f1","Pou2f1","epoch1",-0.0223686403949335
"Dusp27","Dusp27","epoch1",0.693112414422302
"Pea15a","Pea15a","epoch1",-0.467506470599041
"Atp1a2","Atp1a2","epoch1",-0.268797601418205
"Hnrnpu","Hnrnpu","epoch1",0.170102775907965
"Mixl1","Mixl1","epoch1",-0.182779196987337
"Enah","Enah","epoch1",0.416844965589206
"Capn2","Capn2","epoch1",-0.396278065310168
"Tgfb2","Tgfb2","epoch1",-0.36152216416509
"Nenf","Nenf","epoch1",-0.329352358452204
"Terf1","Terf1","epoch1",0.749947567525511
"Rdh10","Rdh10","epoch1",-0.238259438235049
"Dst","Dst","epoch1",0.234176599242436
"Inpp4a","Inpp4a","epoch1",-0.0788000588116575
"Pou3f3","Pou3f3","epoch1",-0.202238337727512
"Fzd7","Fzd7","epoch1",-0.026805036211819
"Bmpr2","Bmpr2","epoch1",-0.252539550379238
"Pard3b","Pard3b","epoch1",-0.225376833801018
"Zdbf2","Zdbf2","epoch1",-0.298568793380889
"Adam23","Adam23","epoch1",0.426645187977118
"Igfbp2","Igfbp2","epoch1",-0.0396618557928201
"B3gnt7","B3gnt7","epoch1",0.415667450948445
"Ptma","Ptma","epoch1",0.22120787929522
"Inpp5d","Inpp5d","epoch1",0.443396048942547
"Tfcp2l1","Tfcp2l1","epoch1",0.516757256975873
"En1","En1","epoch1",-0.25772535862306
"Nuak2","Nuak2","epoch1",-0.211437067934473
"Csrp1","Csrp1","epoch1",-0.0349649509736851
"Phlda3","Phlda3","epoch1",0.18637243427775
"Gpa33","Gpa33","epoch1",0.711476828369022
"Tagln2","Tagln2","epoch1",-0.166574645941771
"Kif26b","Kif26b","epoch1",-0.203954591328367
"Pycr2","Pycr2","epoch1",-0.0951889589671705
"Plxna2","Plxna2","epoch1",-0.346664992033748
"Rgs17","Rgs17","epoch1",-0.174077018285308
"Samd5","Samd5","epoch1",-0.114877836020814
"Phactr2","Phactr2","epoch1",-0.286182955963019
"Abracl","Abracl","epoch1",-0.671419318568963
"Rps12","Rps12","epoch1",0.209770777159853
"Enpp3","Enpp3","epoch1",0.558602825660144
"Arg1","Arg1","epoch1",-0.149321033740554
"Rspo3","Rspo3","epoch1",-0.307129063692613
"Tpd52l1","Tpd52l1","epoch1",0.0580087245355285
"Marcks","Marcks","epoch1",-0.75110483491117
"Unc5b","Unc5b","epoch1",-0.0633723406977276
"H2afy2","H2afy2","epoch1",-0.789875991302243
"Tet1","Tet1","epoch1",0.617200528109495
"Arid5b","Arid5b","epoch1",0.669664233909341
"Cdk1","Cdk1","epoch1",0.14332487120911
"Bicc1","Bicc1","epoch1",-0.21811374167634
"Col18a1","Col18a1","epoch1",0.448834827173468
"Pfkl","Pfkl","epoch1",-0.0700403756258838
"Agpat3","Agpat3","epoch1",-0.176126005331369
"Gamt","Gamt","epoch1",-0.253963036705085
"Tjp3","Tjp3","epoch1",0.0662892374902031
"Nuak1","Nuak1","epoch1",-0.306682476224577
"Ckap4","Ckap4","epoch1",-0.389619215059687
"Atxn7l3b","Atxn7l3b","epoch1",-0.413326151282285
"Lyz2","Lyz2","epoch1",-0.0105433051629357
"Mdm2","Mdm2","epoch1",0.298137805047863
"Hmga2","Hmga2","epoch1",-0.795979568663036
"Nxph4","Nxph4","epoch1",-0.109208826939199
"Lrp1","Lrp1","epoch1",-0.214028539139121
"Nab2","Nab2","epoch1",-0.213784825197947
"Gdf11","Gdf11","epoch1",-0.287758858435629
"Akap12","Akap12","epoch1",0.535764839335617
"Plagl1","Plagl1","epoch1",-0.432867012662534
"Cited2","Cited2","epoch1",-0.381230194747595
"Sgk1","Sgk1","epoch1",0.632671254346072
"Ctgf","Ctgf","epoch1",0.341966040150141
"Samd3","Samd3","epoch1",-0.16143542191833
"Fyn","Fyn","epoch1",-0.372780650642185
"Cd24a","Cd24a","epoch1",-0.858726294714301
"Fabp7","Fabp7","epoch1",-0.382169571394993
"P4ha1","P4ha1","epoch1",-0.262342876420606
"Nodal","Nodal","epoch1",0.463375973471107
"Ppa1","Ppa1","epoch1",0.189849502553397
"Rhobtb1","Rhobtb1","epoch1",-0.226243630248004
"Chchd10","Chchd10","epoch1",1.03376129030483
"Dnmt3l","Dnmt3l","epoch1",0.693818204829092
"Cstb","Cstb","epoch1",-0.0132061839607622
"Bsg","Bsg","epoch1",-0.259425581622989
"Arid3a","Arid3a","epoch1",-0.466668969571818
"Cnn2","Cnn2","epoch1",0.138079415371146
"Abca7","Abca7","epoch1",0.0849904246149582
"Gpx4","Gpx4","epoch1",0.675903855427322
"Gadd45b","Gadd45b","epoch1",0.0146864202407479
"Aes","Aes","epoch1",0.00496196235634411
"1500009L16Rik","1500009L16Rik","epoch1",0.213380583695106
"Rfx4","Rfx4","epoch1",-0.29322233918864
"Timp3","Timp3","epoch1",-0.228123930032799
"Sycp3","Sycp3","epoch1",0.528599440476886
"Dusp6","Dusp6","epoch1",-0.347213114817545
"Csrp2","Csrp2","epoch1",0.386102298200031
"Phlda1","Phlda1","epoch1",-0.31611614851235
"Ppm1h","Ppm1h","epoch1",-0.122119224444645
"Lrig3","Lrig3","epoch1",-0.283140611304051
"Ddit3","Ddit3","epoch1",0.0107178924700377
"Ndufa4l2","Ndufa4l2","epoch1",-0.0296403163003764
"Sec14l2","Sec14l2","epoch1",-0.115188189894206
"Grb10","Grb10","epoch1",-0.589895815912176
"Meis1","Meis1","epoch1",-0.388977575930575
"Stc2","Stc2","epoch1",-0.109256076753827
"Npm1","Npm1","epoch1",0.354726941066336
"Ccng1","Ccng1","epoch1",-0.103047241262717
"Pttg1","Pttg1","epoch1",-0.0311072027142723
"Sqstm1","Sqstm1","epoch1",0.24612801125132
"Pdlim4","Pdlim4","epoch1",-0.289929659917484
"Atox1","Atox1","epoch1",0.516150531345688
"Wnt3a","Wnt3a","epoch1",-0.179058472446398
"Cenpv","Cenpv","epoch1",0.342593244817208
"Lrrc75a","Lrrc75a","epoch1",-0.314832978380178
"Hs3st3b1","Hs3st3b1","epoch1",-0.250067295362372
"Chd3","Chd3","epoch1",-0.604091759794794
"Kdm6b","Kdm6b","epoch1",-0.48032193400347
"Efnb3","Efnb3","epoch1",-0.297449834043347
"Cd68","Cd68","epoch1",0.198150830616472
"Eif5a","Eif5a","epoch1",0.240003812516672
"Alox15","Alox15","epoch1",-0.0650559206672712
"Pfn1","Pfn1","epoch1",0.0141312103514073
"6330403K07Rik","6330403K07Rik","epoch1",-0.444500647309387
"Rflnb","Rflnb","epoch1",-0.327049958573338
"Lhx1","Lhx1","epoch1",-0.255157418205377
"Gdpd1","Gdpd1","epoch1",-0.427550950129033
"Nog","Nog","epoch1",-0.20542382258658
"Hoxb5os","Hoxb5os","epoch1",-0.492027837920706
