"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Hoxb3os","Hoxb3os","epoch1",-0.255839189499175
"Epop","Epop","epoch1",0.227827035958276
"Top2a","Top2a","epoch1",0.130565407729471
"Krt19","Krt19","epoch1",-0.162476411515838
"Jup","Jup","epoch1",0.55372999709167
"Stat5b","Stat5b","epoch1",-0.15496751677116
"Etv4","Etv4","epoch1",-0.158364839564126
"Meox1","Meox1","epoch1",-0.151855301179446
"Limd2","Limd2","epoch1",-0.618277194186231
"Pecam1","Pecam1","epoch1",0.474593673300311
"Cpsf4l","Cpsf4l","epoch1",0.514828561288128
"Jpt1","Jpt1","epoch1",-0.30515779173368
"Galk1","Galk1","epoch1",0.0118892307088693
"Tk1","Tk1","epoch1",-0.0666247194627518
"Socs3","Socs3","epoch1",-0.147820679222339
"Timp2","Timp2","epoch1",-0.351811679623272
"Notum","Notum","epoch1",0.200585621315526
"Gatsl3","Gatsl3","epoch1",0.574667390255462
"Upp1","Upp1","epoch1",0.503088332864451
"Ccdc88a","Ccdc88a","epoch1",-0.425469711704531
"Sh3pxd2b","Sh3pxd2b","epoch1",-0.294161456764432
"Ebf1","Ebf1","epoch1",-0.0248991552942864
"Gfpt2","Gfpt2","epoch1",0.127327633453947
"Rnf130","Rnf130","epoch1",-0.516886722329272
"Col23a1","Col23a1","epoch1",-0.183882278115588
"9530068E07Rik","9530068E07Rik","epoch1",-0.538946429825964
"P4ha2","P4ha2","epoch1",-0.174131451908014
"Mfap4","Mfap4","epoch1",-0.360265142008998
"Pmp22","Pmp22","epoch1",-0.382093742146131
"Myh10","Myh10","epoch1",-0.395232503825305
"Aurkb","Aurkb","epoch1",-0.00203468309292689
"Hes7","Hes7","epoch1",-0.248396261372715
"Sox15","Sox15","epoch1",0.442044187097809
"Gabarap","Gabarap","epoch1",-0.471777777476527
"Eno3","Eno3","epoch1",-0.432978296289382
"Pimreg","Pimreg","epoch1",-0.242614868071787
"Rab34","Rab34","epoch1",-0.46783653024751
"Aldoc","Aldoc","epoch1",-0.0831699504256091
"Unc45b","Unc45b","epoch1",-0.0699002664088221
"Lhx1os","Lhx1os","epoch1",-0.183591242431612
"Tex14","Tex14","epoch1",0.272886523746776
"Vezf1","Vezf1","epoch1",-0.649171926499662
"Cuedc1","Cuedc1","epoch1",-0.492381092746181
"Mmd","Mmd","epoch1",-0.42320380139562
"Samd14","Samd14","epoch1",-0.254333560853656
"Hoxb5","Hoxb5","epoch1",-0.269948526259506
"Hoxb4","Hoxb4","epoch1",-0.473069835268575
"Hoxb3","Hoxb3","epoch1",-0.478456603286441
"Hoxb2","Hoxb2","epoch1",-0.654038122112859
"Hoxb1","Hoxb1","epoch1",-0.380296246518413
"Prr15l","Prr15l","epoch1",0.171566762386083
"Mllt6","Mllt6","epoch1",0.195763559941405
"Igfbp4","Igfbp4","epoch1",-0.427328731178857
"Fzd2","Fzd2","epoch1",-0.539899424575853
"Arhgap27os2","Arhgap27os2","epoch1",0.0169707479866765
"Wnt3","Wnt3","epoch1",-0.120229811531904
"Tanc2","Tanc2","epoch1",-0.21316564588806
"1810010H24Rik","1810010H24Rik","epoch1",-0.0893462106241819
"Axin2","Axin2","epoch1",-0.126971779357415
"Sox9","Sox9","epoch1",-0.258759451634212
"Gprc5c","Gprc5c","epoch1",-0.120019180107942
"Rab37","Rab37","epoch1",-0.132394159522638
"Slc9a3r1","Slc9a3r1","epoch1",0.0551772838820131
"Birc5","Birc5","epoch1",0.154973744934332
"Rnf213","Rnf213","epoch1",-0.105061892818973
"Slc16a3","Slc16a3","epoch1",-0.155086384943153
"Tex19.1","Tex19.1","epoch1",0.848011145064426
"Gm46332","Gm46332","epoch1",0.536265684902373
"Ubxn2a","Ubxn2a","epoch1",0.532854400041367
"Rhob","Rhob","epoch1",-0.353420504598798
"Mycn","Mycn","epoch1",0.613595007094087
"Greb1","Greb1","epoch1",-0.609911233757866
"Id2","Id2","epoch1",-0.577268540783562
"Sox11","Sox11","epoch1",-0.768758879923085
"Egln3","Egln3","epoch1",-0.0699094132055364
"Cfl2","Cfl2","epoch1",-0.533122195964361
"Baz1a","Baz1a","epoch1",-0.388476446078771
"Nfkbia","Nfkbia","epoch1",0.303715857909992
"Foxa1","Foxa1","epoch1",-0.184256804134249
"Nin","Nin","epoch1",-0.296701674970999
"Dhrs7","Dhrs7","epoch1",-0.151841026971721
"Zfp36l1","Zfp36l1","epoch1",-0.430435468476685
"Npc2","Npc2","epoch1",-0.487153531681932
"Rps6kl1","Rps6kl1","epoch1",0.451137401396792
"Gsc","Gsc","epoch1",-0.203377191063256
"Hsp90aa1","Hsp90aa1","epoch1",0.805509401401513
"Ckb","Ckb","epoch1",0.183839603660446
"Akt1","Akt1","epoch1",-0.482400794336287
"Ahnak2","Ahnak2","epoch1",0.0827546159213614
"Sdc1","Sdc1","epoch1",-0.336187164864299
"Hpcal1","Hpcal1","epoch1",-0.380719946051988
"Rrm2","Rrm2","epoch1",-0.0527760203658485
"Pxdn","Pxdn","epoch1",-0.391678537418847
"Twist1","Twist1","epoch1",-0.36330222232993
"Coch","Coch","epoch1",-0.044209004970516
"Npas3","Npas3","epoch1",-0.223289018186942
"1110008L16Rik","1110008L16Rik","epoch1",0.59593518185575
"Klhdc2","Klhdc2","epoch1",-0.645205672948485
"Atl1","Atl1","epoch1",-0.0217088452575627
"Tmx1","Tmx1","epoch1",-0.553021625877255
"Dact1","Dact1","epoch1",-0.244425822816531
"Susd6","Susd6","epoch1",0.0176933258280919
"Smoc1","Smoc1","epoch1",-0.136051581070883
"Vrtn","Vrtn","epoch1",0.134932010527777
"Fos","Fos","epoch1",-0.164404648753896
"Calm1","Calm1","epoch1",-0.265738448374911
"Ppp4r4","Ppp4r4","epoch1",-0.00641275434164082
"Dlk1","Dlk1","epoch1",-0.146990844749737
"Adssl1","Adssl1","epoch1",-0.181419176241319
"Crip2","Crip2","epoch1",0.231730273525657
"Crip1","Crip1","epoch1",0.601904833876421
"Sp8","Sp8","epoch1",-0.351653676429423
"Zmynd11","Zmynd11","epoch1",-0.409637351036526
"Sox4","Sox4","epoch1",-0.635967015349088
"Serpinb6c","Serpinb6c","epoch1",0.169837394548209
"Serpinb6a","Serpinb6a","epoch1",0.0988063919332544
"Tubb2b","Tubb2b","epoch1",-0.300967559564716
"Pxdc1","Pxdc1","epoch1",-0.00777123866010537
"Nedd9","Nedd9","epoch1",-0.329034701873482
"Card19","Card19","epoch1",0.0217359810847145
"Ror2","Ror2","epoch1",-0.321429853407021
"Dbn1","Dbn1","epoch1",-0.666155829622007
"H2afy","H2afy","epoch1",-0.403753008602645
"Gas1","Gas1","epoch1",-0.564518392110003
"Irx1","Irx1","epoch1",-0.292908948841558
"Rhobtb3","Rhobtb3","epoch1",-0.543663246702636
"Vcan","Vcan","epoch1",-0.271286591092705
"F2r","F2r","epoch1",-0.529061486189487
"Hmgcr","Hmgcr","epoch1",-0.123299679305513
"Hexb","Hexb","epoch1",0.351799836121582
"Ccnb1","Ccnb1","epoch1",0.328264838514471
"Erbin","Erbin","epoch1",-0.333787918815012
"Fst","Fst","epoch1",-0.191213182900354
"Isl1","Isl1","epoch1",-0.0694220625170962
"Foxq1","Foxq1","epoch1",-0.198549667400917
"Foxc1","Foxc1","epoch1",-0.191758847081975
"Dsp","Dsp","epoch1",-0.253059105386058
"Rbm24","Rbm24","epoch1",-0.209171175907628
"Id4","Id4","epoch1",0.00528841312281186
"Cks2","Cks2","epoch1",0.225266399729461
"Gadd45g","Gadd45g","epoch1",0.180486268300987
"Cplx2","Cplx2","epoch1",-0.243003393221137
"Dapk1","Dapk1","epoch1",-0.0914967744147077
"Ssbp2","Ssbp2","epoch1",-0.480360958952195
"Serinc5","Serinc5","epoch1",-0.0805234470369396
"Mtx3","Mtx3","epoch1",-0.066058503638775
"Lncenc1","Lncenc1","epoch1",0.769445125737781
"Foxd1","Foxd1","epoch1",-0.25823253051944
"Serf1","Serf1","epoch1",-0.398807527613443
"Plk2","Plk2","epoch1",0.165827884431238
"Emb","Emb","epoch1",0.250521792704175
"Fgf10","Fgf10","epoch1",-0.19257848140288
"Zfp503","Zfp503","epoch1",-0.527320968475999
"2610528A11Rik","2610528A11Rik","epoch1",-0.11054270248093
"Ero1l","Ero1l","epoch1",-0.12047506205176
"Otx2","Otx2","epoch1",0.317030503350514
"Slc7a7","Slc7a7","epoch1",0.407463247484076
"Psme2","Psme2","epoch1",-0.15045403482528
"Gata4","Gata4","epoch1",-0.129850115044015
"Tdh","Tdh","epoch1",1.07148712884736
"Esco2","Esco2","epoch1",0.484089555763494
"Ephx2","Ephx2","epoch1",0.606136101963922
"Dpysl2","Dpysl2","epoch1",-0.711730865408556
"Cdca2","Cdca2","epoch1",0.140012467788652
"Fgf17","Fgf17","epoch1",0.00740223710580163
"Pcdh8","Pcdh8","epoch1",-0.22317304092734
"Dach1","Dach1","epoch1",-0.302736282716866
"Spry2","Spry2","epoch1",-0.203675246302689
"Zic5","Zic5","epoch1",0.0288308149401583
"Top2b","Top2b","epoch1",-0.569329458800539
"Nid2","Nid2","epoch1",0.376883370667351
"Zmiz1","Zmiz1","epoch1",-0.468427560790593
"Il17rd","Il17rd","epoch1",-0.323154121814221
"Wnt5a","Wnt5a","epoch1",-0.373093556358036
"Tnnc1","Tnnc1","epoch1",-0.101090667029778
"Samd4","Samd4","epoch1",-0.118407428019129
"Rnase4","Rnase4","epoch1",-0.159220667190764
"Slc39a2","Slc39a2","epoch1",-0.0792258496732256
"Carmil3","Carmil3","epoch1",-0.12192152222063
"Rnf17","Rnf17","epoch1",0.634761037970885
"Shisa2","Shisa2","epoch1",-0.0614423418211976
"Clu","Clu","epoch1",-0.116268346960698
"Nefl","Nefl","epoch1",0.247647618094522
"Stc1","Stc1","epoch1",-0.148181499400877
"Loxl2","Loxl2","epoch1",-0.315439105438931
"Egr3","Egr3","epoch1",-0.158669829663178
"Tsc22d1","Tsc22d1","epoch1",-0.327796784678936
"Enox1","Enox1","epoch1",0.602459262338462
"Gpc6","Gpc6","epoch1",-0.319473146066634
"Mbnl2","Mbnl2","epoch1",0.0652427225323053
"Farp1","Farp1","epoch1",-0.258179287492149
"Zic2","Zic2","epoch1",-0.0322218815121175
"Basp1","Basp1","epoch1",-0.50054637658619
"Trio","Trio","epoch1",-0.214401260902348
"Ncald","Ncald","epoch1",-0.189431203354328
"Ndrg1","Ndrg1","epoch1",-0.0443169851426827
"Eef1d","Eef1d","epoch1",0.230184992834488
"Tmem184b","Tmem184b","epoch1",-0.0325904572029679
"Csnk1e","Csnk1e","epoch1",-0.565798620339848
"Cbx7","Cbx7","epoch1",0.662234841954296
"Phf5a","Phf5a","epoch1",0.2083854632635
"Pmm1","Pmm1","epoch1",0.806272385683263
"A4galt","A4galt","epoch1",0.0903366148177246
"Smc1b","Smc1b","epoch1",0.188439567065514
"Mapk12","Mapk12","epoch1",-0.395550587665183
"Plxnb2","Plxnb2","epoch1",-0.178507310591479
"Kif21a","Kif21a","epoch1",-0.134319524131504
"Yaf2","Yaf2","epoch1",-0.68927457553712
"Prickle1","Prickle1","epoch1",-0.191859470954229
"Slc38a4","Slc38a4","epoch1",0.215657536086839
"Col2a1","Col2a1","epoch1",-0.535967918959043
"Adcy6","Adcy6","epoch1",-0.143588155692158
"Tuba1b","Tuba1b","epoch1",0.0657489575119885
"Racgap1","Racgap1","epoch1",0.034658836264411
"Lima1","Lima1","epoch1",0.352588326751404
"Fignl2","Fignl2","epoch1",-0.440288715555503
"Krt8","Krt8","epoch1",-0.240694970182989
"Itga5","Itga5","epoch1",-0.15326607237145
"Ppp1r1a","Ppp1r1a","epoch1",-0.10402162941727
"Myo10","Myo10","epoch1",0.605288509040474
"Laptm4b","Laptm4b","epoch1",-0.423347811067117
"Cthrc1","Cthrc1","epoch1",0.0311892328682606
"Myc","Myc","epoch1",-0.0222348442477695
"Ptp4a3","Ptp4a3","epoch1",0.144470164815057
"Ly6e","Ly6e","epoch1",-0.0296289578303227
"Grina","Grina","epoch1",-0.429874026182332
"H1f0","H1f0","epoch1",-0.36823983338034
"Syngr1","Syngr1","epoch1",0.372870347301493
"Tspo","Tspo","epoch1",-0.0580751512588395
"Pim3","Pim3","epoch1",0.379831580290311
"Pdzrn4","Pdzrn4","epoch1",0.195693171250172
"Tuba1c","Tuba1c","epoch1",0.456929428438572
"Krt18","Krt18","epoch1",-0.210704486989539
"Hoxc13","Hoxc13","epoch1",-0.0370015551073744
"Ranbp1","Ranbp1","epoch1",-0.00213508696769613
"Liph","Liph","epoch1",0.302891848507587
"Etv5","Etv5","epoch1",0.539221234908834
"P3h2","P3h2","epoch1",-0.2073851440108
"Tmem44","Tmem44","epoch1",-0.0544103675658463
"Fam162a","Fam162a","epoch1",-0.259760455411738
"Pla1a","Pla1a","epoch1",0.268449749545957
"Gap43","Gap43","epoch1",-0.219614990288775
"Boc","Boc","epoch1",-0.316539188340625
"Dzip3","Dzip3","epoch1",-0.356935262798387
"Alcam","Alcam","epoch1",-0.0843925636869286
"Nrip1","Nrip1","epoch1",-0.397778504255167
"App","App","epoch1",-0.405780994642105
"2310043M15Rik","2310043M15Rik","epoch1",0.241485869275679
"Snn","Snn","epoch1",-0.457202810763069
"Cldn5","Cldn5","epoch1",0.263753303389573
"Lpp","Lpp","epoch1",-0.321163604259982
"Ccdc50","Ccdc50","epoch1",-0.425080237023132
"Hes1","Hes1","epoch1",-0.46698666373472
"Hspbap1","Hspbap1","epoch1",0.691253737391539
"Fstl1","Fstl1","epoch1",-0.443420187441848
"Zbtb20","Zbtb20","epoch1",-0.178587766931909
"Dppa4","Dppa4","epoch1",0.999879649285836
"Dppa2","Dppa2","epoch1",0.940282291892008
"Morc1","Morc1","epoch1",0.782697924189642
"Cd47","Cd47","epoch1",-0.351152796378816
"Senp7","Senp7","epoch1",-0.262713072253805
"Gbe1","Gbe1","epoch1",-0.147205302777165
"Robo1","Robo1","epoch1",-0.0968203807289557
"Jam2","Jam2","epoch1",0.2987641996322
"Il10rb","Il10rb","epoch1",-0.139276253614924
"Cbr3","Cbr3","epoch1",0.797159379333871
"Ttc3","Ttc3","epoch1",-0.710734087276875
"Ezr","Ezr","epoch1",0.315774535915326
"Gm16702","Gm16702","epoch1",-0.0787575730848352
"Qk","Qk","epoch1",-0.479418202571248
"Acat2","Acat2","epoch1",-0.386386479489863
"Dll1","Dll1","epoch1",-0.221667423635672
"Rgmb","Rgmb","epoch1",-0.124152472595603
"Tnfrsf12a","Tnfrsf12a","epoch1",0.0233933713035489
"Metrn","Metrn","epoch1",-0.346545762743656
"1700097N02Rik","1700097N02Rik","epoch1",0.694403169540396
"Zfp811","Zfp811","epoch1",-0.187685398995582
"H2-K1","H2-K1","epoch1",-0.435120809414478
"H2-Ke6","H2-Ke6","epoch1",-0.208224512857601
"Tubb5","Tubb5","epoch1",-0.378227629398569
"H2-M5","H2-M5","epoch1",0.351750112247624
"AY036118","AY036118","epoch1",0.0714906835575669
"Slc29a1","Slc29a1","epoch1",0.548582931270492
"Mymx","Mymx","epoch1",0.652027040327204
"Vegfa","Vegfa","epoch1",-0.27927130333085
"Mdfi","Mdfi","epoch1",-0.272741208003321
"Foxp4","Foxp4","epoch1",-0.189812506029507
"Rftn1","Rftn1","epoch1",-0.310758830319716
"Dazl","Dazl","epoch1",0.322859747995066
"Plin3","Plin3","epoch1",0.242924479062859
"Efna5","Efna5","epoch1",-0.361372618517137
"Tgif1","Tgif1","epoch1",0.387541522041977
"Srsf7","Srsf7","epoch1",0.144438889544861
"T","T","epoch1",-0.209833276289119
"Smoc2","Smoc2","epoch1",-0.178222293626437
"Hcfc1r1","Hcfc1r1","epoch1",-0.0227054728111068
"Cldn6","Cldn6","epoch1",0.207167108079474
"Crebrf","Crebrf","epoch1",0.249019168084104
"Srsf3","Srsf3","epoch1",0.074571209170574
"Cdkn1a","Cdkn1a","epoch1",-0.137823688184626
"Dnah8","Dnah8","epoch1",0.399923498783709
"Abcg1","Abcg1","epoch1",0.278517348050482
"Myo1f","Myo1f","epoch1",0.34786835622159
"Platr17","Platr17","epoch1",0.888222804028369
"H2-Ab1","H2-Ab1","epoch1",-0.205398772138937
"Clic1","Clic1","epoch1",-0.656628198676575
"Ddah2","Ddah2","epoch1",-0.594442476711391
"Ddx39b","Ddx39b","epoch1",-0.0464350760661609
"H2-D1","H2-D1","epoch1",-0.192171107170968
"Dhx16","Dhx16","epoch1",0.910466678586713
"Gabbr1","Gabbr1","epoch1",0.0578109625438489
"Gm26917","Gm26917","epoch1",0.304220082129812
"Gm42418","Gm42418","epoch1",0.468483858004107
"Shd","Shd","epoch1",-0.228455539688443
"Crb3","Crb3","epoch1",0.218380566606608
"Lama1","Lama1","epoch1",-0.123513169206151
"Epb41l3","Epb41l3","epoch1",-0.143599449336234
"Lbh","Lbh","epoch1",-0.29771299721578
"Pkdcc","Pkdcc","epoch1",-0.255703079168699
"Epcam","Epcam","epoch1",0.59379898765162
"Msh6","Msh6","epoch1",0.672436500490098
"Cdh2","Cdh2","epoch1",-0.560345617969165
"Slc39a6","Slc39a6","epoch1",-0.38798997585763
"Nrep","Nrep","epoch1",-0.496735278462252
"Dnd1","Dnd1","epoch1",0.463914040359477
"Prelid2","Prelid2","epoch1",-0.208097201232918
"Dpysl3","Dpysl3","epoch1",-0.129674877276946
"Spink1","Spink1","epoch1",-0.0914941391181907
"Zfp608","Zfp608","epoch1",-0.36365088411786
"Fbn2","Fbn2","epoch1",-0.310925477615495
"Cdx1","Cdx1","epoch1",-0.202179376361201
"Setbp1","Setbp1","epoch1",-0.333642454256336
"Sall3","Sall3","epoch1",-0.0728138129211904
"Tshz1","Tshz1","epoch1",-0.473747606663865
"Svil","Svil","epoch1",0.0188763323539171
"Zeb1","Zeb1","epoch1",-0.325770898990615
"Colec12","Colec12","epoch1",-0.236895275346726
"Greb1l","Greb1l","epoch1",-0.493614435101947
"Gata6","Gata6","epoch1",-0.215746203280949
"Asxl3","Asxl3","epoch1",-0.215839347199121
"Dtna","Dtna","epoch1",-0.00496761297079837
"Egr1","Egr1","epoch1",0.169096242247592
"Cxxc5","Cxxc5","epoch1",-0.222451036863723
"Pdgfrb","Pdgfrb","epoch1",-0.0847519964740736
"Onecut2","Onecut2","epoch1",-0.0877365037381551
"Tubb6","Tubb6","epoch1",-0.348577758344384
"Smad7","Smad7","epoch1",0.215161213509709
"Zfp516","Zfp516","epoch1",-0.290683594509296
"Cyb5a","Cyb5a","epoch1",0.425395326781603
"Fbxo15","Fbxo15","epoch1",0.824171002333571
"Malat1","Malat1","epoch1",-0.0143879271851653
"Neat1","Neat1","epoch1",0.186307823957486
"Rtn3","Rtn3","epoch1",-0.487240003611485
"Gng3","Gng3","epoch1",0.514743002998703
"Incenp","Incenp","epoch1",0.209227692223073
"Psat1","Psat1","epoch1",-0.012716647464904
"Gldc","Gldc","epoch1",0.374748938027662
"Dkk1","Dkk1","epoch1",-0.216311900715361
"Myof","Myof","epoch1",0.209129851575346
"Rbp4","Rbp4","epoch1",-0.156548283171811
"Pdlim1","Pdlim1","epoch1",0.622515810052576
"Avpi1","Avpi1","epoch1",0.52202084285527
"Scd1","Scd1","epoch1",-0.291790177942448
"Fgf8","Fgf8","epoch1",-0.268590131381763
"Npm3","Npm3","epoch1",0.147682561886816
"Ablim1","Ablim1","epoch1",-0.283938156566667
"Sptbn2","Sptbn2","epoch1",0.18140991412631
"Fads1","Fads1","epoch1",-0.432366717619633
"Syt7","Syt7","epoch1",-0.153683105744483
"Tmem2","Tmem2","epoch1",-0.0455555414018234
"Klf9","Klf9","epoch1",0.755042095097325
"Dmrt1","Dmrt1","epoch1",0.305759509077182
