"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Gm26917","Gm26917","epoch1",0.214637929708981
"Gm42418","Gm42418","epoch1",0.326797930423293
"Shd","Shd","epoch1",-0.256832504332973
"Crb3","Crb3","epoch1",0.127552114275809
"Tnfsf9","Tnfsf9","epoch1",-0.146466402535511
"Lama1","Lama1","epoch1",-0.112525219239559
"Epb41l3","Epb41l3","epoch1",-0.0975166262330743
"Lbh","Lbh","epoch1",-0.30796617640154
"Pkdcc","Pkdcc","epoch1",-0.16059497120011
"Epas1","Epas1","epoch1",0.194798223901219
"Rhoq","Rhoq","epoch1",-0.306763886800272
"Epcam","Epcam","epoch1",0.574034910675063
"Msh6","Msh6","epoch1",0.555644792240458
"Zfp521","Zfp521","epoch1",-0.288925899845089
"Cdh2","Cdh2","epoch1",-0.484953907072582
"Slc39a6","Slc39a6","epoch1",-0.345722597535596
"Celf4","Celf4","epoch1",0.265475300400693
"Nrep","Nrep","epoch1",-0.499137422226506
"Epb41l4a","Epb41l4a","epoch1",0.144287594417961
"Gfra3","Gfra3","epoch1",-0.114764001693217
"Dnd1","Dnd1","epoch1",0.304420491841239
"Taf7","Taf7","epoch1",0.578763865569706
"Dpysl3","Dpysl3","epoch1",-0.196216027374996
"Spink1","Spink1","epoch1",-0.0791948219089944
"Ppic","Ppic","epoch1",0.0792513656533952
"Zfp608","Zfp608","epoch1",-0.348177729789073
"Fbn2","Fbn2","epoch1",-0.315223745585698
"Cdx1","Cdx1","epoch1",0.186402981883378
"Rnf165","Rnf165","epoch1",-0.348460369072098
"Setbp1","Setbp1","epoch1",-0.306951029878582
"Tshz1","Tshz1","epoch1",-0.45513364343625
"Bambi","Bambi","epoch1",-0.111867482763175
"Zeb1","Zeb1","epoch1",-0.323732674953901
"Fzd8","Fzd8","epoch1",-0.15534664955236
"Colec12","Colec12","epoch1",-0.195832419743393
"Greb1l","Greb1l","epoch1",-0.486550621318437
"Gata6","Gata6","epoch1",-0.181089046453764
"Asxl3","Asxl3","epoch1",-0.237688534604716
"Dtna","Dtna","epoch1",0.00549171479220318
"Wnt8a","Wnt8a","epoch1",0.0234337374946188
"Kif20a","Kif20a","epoch1",0.223480381912245
"Cystm1","Cystm1","epoch1",-0.256587951864248
"Slc12a2","Slc12a2","epoch1",-0.0894905785335048
"Pdgfrb","Pdgfrb","epoch1",-0.0414117302764491
"Impa2","Impa2","epoch1",0.649057531437416
"Tubb6","Tubb6","epoch1",-0.190337793169387
"Tcf4","Tcf4","epoch1",-0.421369696611557
"Smad7","Smad7","epoch1",0.187011442471622
"Zfp516","Zfp516","epoch1",-0.346183370231523
"Zadh2","Zadh2","epoch1",-0.23264446060367
"Cyb5a","Cyb5a","epoch1",0.387136236208711
"Fbxo15","Fbxo15","epoch1",0.697197974392397
"Neat1","Neat1","epoch1",0.144081045906556
"Gng3","Gng3","epoch1",0.553771549274407
"Incenp","Incenp","epoch1",0.219482182886754
"Pga5","Pga5","epoch1",-0.129929048647433
"Tle4","Tle4","epoch1",0.331412331240434
"Insl6","Insl6","epoch1",-0.100576849607042
"Gldc","Gldc","epoch1",0.355712562201422
"Dkk1","Dkk1","epoch1",-0.119121536309949
"Acta2","Acta2","epoch1",-0.124623536004633
"Myof","Myof","epoch1",0.253376311003254
"Rbp4","Rbp4","epoch1",-0.171935857855124
"Pdlim1","Pdlim1","epoch1",0.67738058238035
"Slit1","Slit1","epoch1",-0.143680520771724
"Avpi1","Avpi1","epoch1",0.493611413311818
"Cpn1","Cpn1","epoch1",-0.0553286160687505
"Scd1","Scd1","epoch1",-0.221839981348322
"Fgf8","Fgf8","epoch1",-0.16787985451094
"Ablim1","Ablim1","epoch1",-0.200098751235734
"Doc2g","Doc2g","epoch1",-0.0650753969997924
"Sptbn2","Sptbn2","epoch1",0.158661377460218
"Rasgrp2","Rasgrp2","epoch1",0.751866819028318
"2700081O15Rik","2700081O15Rik","epoch1",-0.171809410080692
"Fth1","Fth1","epoch1",0.555194763499808
"Fads1","Fads1","epoch1",-0.430062999198808
"Tmem2","Tmem2","epoch1",-0.172949303146026
"Klf9","Klf9","epoch1",0.646225931115845
"Kank1","Kank1","epoch1",-0.166215914533223
"Dmrt1","Dmrt1","epoch1",0.243305584160507
"Smarca2","Smarca2","epoch1",-0.304830993946434
"Vldlr","Vldlr","epoch1",-0.258545700214841
"Jak2","Jak2","epoch1",-0.191311425061395
"Kif20b","Kif20b","epoch1",0.384496271861262
"Cyp26a1","Cyp26a1","epoch1",-0.224316951114363
"Hells","Hells","epoch1",0.486082479057522
"Scd2","Scd2","epoch1",-0.603768214737041
"Pax2","Pax2","epoch1",-0.127637832903015
"Sema4g","Sema4g","epoch1",-0.0383528570838386
"Nolc1","Nolc1","epoch1",0.497206332627536
"Ina","Ina","epoch1",0.690085904196554
"Mxi1","Mxi1","epoch1",-0.23553164659315
"Tcf7l2","Tcf7l2","epoch1",-0.231629452275746
"Celf2","Celf2","epoch1",-0.233475941190789
"Tubb4b","Tubb4b","epoch1",0.45693711009406
"Uap1l1","Uap1l1","epoch1",0.00315873638778774
"Ptgds","Ptgds","epoch1",-0.0645097179461252
"Notch1","Notch1","epoch1",-0.217935975939733
"1700007K13Rik","1700007K13Rik","epoch1",0.379785345025777
"Ier5l","Ier5l","epoch1",-0.18387245095121
"Pbx3","Pbx3","epoch1",-0.228642820898144
"Dennd1a","Dennd1a","epoch1",-0.074431598942897
"Rprm","Rprm","epoch1",-0.510505549691211
"Baz2b","Baz2b","epoch1",-0.252501441243809
"Rbms1","Rbms1","epoch1",-0.285122523834113
"Fign","Fign","epoch1",-0.297308021239218
"Stk39","Stk39","epoch1",-0.391877947559552
"Hoxd3os1","Hoxd3os1","epoch1",-0.230956807732582
"Ttn","Ttn","epoch1",0.402913854963283
"Frzb","Frzb","epoch1",-0.375248797805176
"Tfpi","Tfpi","epoch1",0.495378744518999
"Mdk","Mdk","epoch1",-0.878890855909372
"Fjx1","Fjx1","epoch1",-0.25984986857712
"Rcn1","Rcn1","epoch1",-0.510265476491094
"Actc1","Actc1","epoch1",-0.128396212676455
"Meis2","Meis2","epoch1",-0.627470291593126
"2700033N17Rik","2700033N17Rik","epoch1",-0.216409878077241
"Patl2","Patl2","epoch1",0.157179600204611
"Slc4a11","Slc4a11","epoch1",0.0944947515269221
"Trib3","Trib3","epoch1",0.317906674848595
"Plagl2","Plagl2","epoch1",-0.261799815569432
"Gtsf1l","Gtsf1l","epoch1",0.69439577510779
"Sdc4","Sdc4","epoch1",0.457665357996383
"Atp9a","Atp9a","epoch1",-0.0564611458838894
"Sall4","Sall4","epoch1",0.0907386942709876
"Aurka","Aurka","epoch1",0.239471912990338
"Bmp7","Bmp7","epoch1",-0.165889930377152
"Lama5","Lama5","epoch1",0.0370187306703366
"Tcfl5","Tcfl5","epoch1",0.288117222393376
"Nkain4","Nkain4","epoch1",-0.0853600242567547
"Stmn3","Stmn3","epoch1",-0.0525737292606615
"Fam107b","Fam107b","epoch1",-0.262449853462616
"Sfmbt2","Sfmbt2","epoch1",0.245904446404597
"Vim","Vim","epoch1",-0.492727603069578
"Commd3","Commd3","epoch1",-0.276611987474938
"Bmi1","Bmi1","epoch1",-0.276454161909328
"Msrb2","Msrb2","epoch1",0.601420675361822
"Etl4","Etl4","epoch1",0.327342624325768
"Nrarp","Nrarp","epoch1",-0.385585489595394
"Col5a1","Col5a1","epoch1",-0.159705341013555
"Olfm1","Olfm1","epoch1",-0.274426385983387
"Set","Set","epoch1",0.459005138699555
"Prrx2","Prrx2","epoch1",-0.187896017117549
"Ass1","Ass1","epoch1",0.608981523048227
"Ak1","Ak1","epoch1",0.14376858231283
"Rpl12","Rpl12","epoch1",0.214530315965788
"Angptl2","Angptl2","epoch1",-0.203674264668208
"Acvr2a","Acvr2a","epoch1",-0.231939880527216
"Rif1","Rif1","epoch1",0.616245774027471
"Csrnp3","Csrnp3","epoch1",-0.0140031254684865
"Sp5","Sp5","epoch1",-0.00257964267012507
"Hat1","Hat1","epoch1",0.626234066433883
"Itga6","Itga6","epoch1",-0.0302908260317349
"Pdk1","Pdk1","epoch1",0.418282564662085
"Hoxd10","Hoxd10","epoch1",-0.269209074338681
"Hoxd9","Hoxd9","epoch1",-0.425320869321145
"Hoxd8","Hoxd8","epoch1",-0.36141951533441
"Hoxd1","Hoxd1","epoch1",-0.223802132352355
"Lrp4","Lrp4","epoch1",-0.234195245401508
"Lmo2","Lmo2","epoch1",-0.0738809022504061
"Cd59a","Cd59a","epoch1",0.0305081319612295
"Pax6","Pax6","epoch1",-0.11251872800631
"Mpped2","Mpped2","epoch1",-0.255638927309939
"Spred1","Spred1","epoch1",-0.251920414290764
"Spint1","Spint1","epoch1",0.16381987160028
"Nusap1","Nusap1","epoch1",0.09805039986188
"Mapkbp1","Mapkbp1","epoch1",-0.0819483639927685
"Capn3","Capn3","epoch1",0.252159586261372
"B2m","B2m","epoch1",-0.609009775568966
"Sema6d","Sema6d","epoch1",-0.188876901370317
"Dut","Dut","epoch1",0.125269653218879
"Eid1","Eid1","epoch1",-0.488293997052263
"Slc27a2","Slc27a2","epoch1",0.254346659038273
"Bmp2","Bmp2","epoch1",-0.171238343349568
"Platr3","Platr3","epoch1",0.546962112944743
"Ism1","Ism1","epoch1",-0.122124726397132
"Insm1","Insm1","epoch1",-0.0123349925134388
"Id1","Id1","epoch1",-0.504468327580814
"Cox4i2","Cox4i2","epoch1",-0.123571730809768
"Hck","Hck","epoch1",0.272872973970955
"Dnmt3b","Dnmt3b","epoch1",0.519333466326117
"1700003F12Rik","1700003F12Rik","epoch1",-0.219053011255216
"Myl9","Myl9","epoch1",0.000443555528137284
"Nnat","Nnat","epoch1",-0.255341425500243
"Top1","Top1","epoch1",-0.287133866763286
"Mybl2","Mybl2","epoch1",0.3068785587997
"Wfdc2","Wfdc2","epoch1",0.284907106782882
"Cd40","Cd40","epoch1",-0.256351771239702
"Ncoa3","Ncoa3","epoch1",0.322901168450486
"Snai1","Snai1","epoch1",-0.0131114019355193
"Cebpb","Cebpb","epoch1",0.266563126823846
"Tshz2","Tshz2","epoch1",-0.280579686164856
"Fam210b","Fam210b","epoch1",-0.0117224612968222
"Tfap2c","Tfap2c","epoch1",0.477606844440632
"Gnas","Gnas","epoch1",-0.823691854118677
"Edn3","Edn3","epoch1",-0.0837466367307653
"Slc17a9","Slc17a9","epoch1",0.205766413757946
"Hey1","Hey1","epoch1",-0.22072027366476
"Tpd52","Tpd52","epoch1",0.289279436275687
"Lrrc34","Lrrc34","epoch1",0.358132009730121
"Anxa5","Anxa5","epoch1",-0.245925521634065
"Ccna2","Ccna2","epoch1",0.171583744655907
"Maml3","Maml3","epoch1",-0.422470173443937
"Pfn2","Pfn2","epoch1",-0.537362289750744
"Plch1","Plch1","epoch1",-0.333438307122531
"Golim4","Golim4","epoch1",-0.310841423605904
"Gm26771","Gm26771","epoch1",0.0531570563083373
"Trim2","Trim2","epoch1",-0.0139985483915068
"Fhdc1","Fhdc1","epoch1",-0.213173030218497
"Rab25","Rab25","epoch1",0.362585353839972
"Fdps","Fdps","epoch1",0.117070031608809
"Efna3","Efna3","epoch1",-0.156646253796398
"Mllt11","Mllt11","epoch1",-0.156489107392605
"Car14","Car14","epoch1",-0.421037097644713
"Plekho1","Plekho1","epoch1",-0.537111876769994
"Mov10","Mov10","epoch1",0.258557623375188
"Pifo","Pifo","epoch1",-0.0894142596552215
"Csf1","Csf1","epoch1",-0.137255281512507
"Gstm3","Gstm3","epoch1",0.221276067386424
"Gstm1","Gstm1","epoch1",0.426679351333816
"Ptbp2","Ptbp2","epoch1",-0.334699865124486
"Tet2","Tet2","epoch1",0.0910653139885307
"Lmo4","Lmo4","epoch1",-0.365600057875236
"Cyr61","Cyr61","epoch1",-0.19565616663413
"Adgrl2","Adgrl2","epoch1",-0.330852420954507
"Nexn","Nexn","epoch1",-0.103151777068976
"Cth","Cth","epoch1",0.396123016860601
"Zfhx4","Zfhx4","epoch1",-0.321009546442685
"Stmn2","Stmn2","epoch1",0.246282397884034
"Fabp5","Fabp5","epoch1",-0.633178396548468
"Car2","Car2","epoch1",0.405666241878502
"Sox2","Sox2","epoch1",0.158820031463112
"Spry1","Spry1","epoch1",-0.213208937317223
"Hspa4l","Hspa4l","epoch1",-0.265541921450099
"Jade1","Jade1","epoch1",0.705943560759598
"Lhfp","Lhfp","epoch1",-0.276739633174112
"Sohlh2","Sohlh2","epoch1",0.312350940280759
"Sfrp2","Sfrp2","epoch1",-0.422549099781962
"Crabp2","Crabp2","epoch1",-0.578807516953657
"Nes","Nes","epoch1",-0.379166701429188
"Mex3a","Mex3a","epoch1",-0.530119820324193
"S100a16","S100a16","epoch1",0.146626571562084
"S100a6","S100a6","epoch1",0.0523622471432622
"S100a11","S100a11","epoch1",-0.00390924450138886
"S100a10","S100a10","epoch1",-0.0796582197438368
"Hormad1","Hormad1","epoch1",0.32891537022167
"Txnip","Txnip","epoch1",-0.0191598157036451
"Lix1l","Lix1l","epoch1",-0.30586885528516
"Slc16a1","Slc16a1","epoch1",-0.265101516651826
"Alx3","Alx3","epoch1",-0.16270936647345
"Gstm5","Gstm5","epoch1",0.000448378247355447
"Psrc1","Psrc1","epoch1",0.174944335749009
"Slc25a24","Slc25a24","epoch1",-0.20621729865292
"Frrs1","Frrs1","epoch1",0.618228052381419
"Gclm","Gclm","epoch1",0.699895385849564
"1810037I17Rik","1810037I17Rik","epoch1",0.500719544872509
"Prss12","Prss12","epoch1",-0.135832848887758
"Pitx2","Pitx2","epoch1",-0.315425290000302
"Lef1","Lef1","epoch1",0.133581633642339
"Manba","Manba","epoch1",0.495956994782244
"Ppp3ca","Ppp3ca","epoch1",-0.211785411592195
"Ddit4l","Ddit4l","epoch1",0.233353972755583
"Gm16233","Gm16233","epoch1",0.120902804478171
"Ddah1","Ddah1","epoch1",-0.14741153937651
"Wls","Wls","epoch1",-0.451247135111069
"Plekhf2","Plekhf2","epoch1",0.329893187582516
"Esrp1","Esrp1","epoch1",0.362948886936691
"Aqp3","Aqp3","epoch1",0.195217312819462
"Enho","Enho","epoch1",-0.439257699175416
"Igfbpl1","Igfbpl1","epoch1",-0.303630161375696
"Klf4","Klf4","epoch1",0.381386447830249
"Lpar1","Lpar1","epoch1",-0.307709270606035
"Nfib","Nfib","epoch1",0.133521210950643
"Cer1","Cer1","epoch1",-0.149345656034305
"Mllt3","Mllt3","epoch1",-0.563044616976176
"Klhl9","Klhl9","epoch1",-0.358849773041639
"Cdkn2a","Cdkn2a","epoch1",0.276344833337716
"Cdkn2b","Cdkn2b","epoch1",0.0593341541320539
"Elavl2","Elavl2","epoch1",0.0538720124918816
"Jun","Jun","epoch1",-0.239619883976057
"Dmrtb1","Dmrtb1","epoch1",0.0641450693235179
"Nasp","Nasp","epoch1",0.2716591188655
"Plk3","Plk3","epoch1",0.179678690009916
"Cdc20","Cdc20","epoch1",0.338999743793788
"Rimkla","Rimkla","epoch1",0.00166326065353936
"Gjb3","Gjb3","epoch1",0.383787221374548
"Zfp362","Zfp362","epoch1",-0.374716610926662
"Sesn2","Sesn2","epoch1",0.236901062849033
"Sfn","Sfn","epoch1",0.334748332573073
"Grrp1","Grrp1","epoch1",-0.0161406657266133
"Alpl","Alpl","epoch1",0.686940737997612
"Cda","Cda","epoch1",-0.0893244112506131
"Fblim1","Fblim1","epoch1",0.453379819576208
"Pdpn","Pdpn","epoch1",-0.0191525284036625
"Zfp979","Zfp979","epoch1",0.658299589604978
"Agtrap","Agtrap","epoch1",0.403873095231995
"Draxin","Draxin","epoch1",-0.156964517486882
"Spsb1","Spsb1","epoch1",-0.155864302882083
"Ajap1","Ajap1","epoch1",-0.333744222893933
"Agrn","Agrn","epoch1",-0.17919762211327
"Chd7","Chd7","epoch1",-0.405721397455876
"Trp53inp1","Trp53inp1","epoch1",0.251101733022251
"Ccne2","Ccne2","epoch1",-0.109212088630284
"Rragd","Rragd","epoch1",-0.216241875859592
"Gm26881","Gm26881","epoch1",-0.0926526412746023
"Smc2","Smc2","epoch1",0.165623746356285
"Zfp462","Zfp462","epoch1",-0.101779445600731
"Mup6","Mup6","epoch1",0.293612022107399
"Zfp618","Zfp618","epoch1",-0.280693426047485
"Pappa","Pappa","epoch1",-0.15906833876208
"Lurap1l","Lurap1l","epoch1",0.229753952341031
"Nfia","Nfia","epoch1",-0.116584124903994
"L1td1","L1td1","epoch1",0.82010846879117
"Foxd3","Foxd3","epoch1",0.433147436168593
"Ak4","Ak4","epoch1",-0.206534864409321
"Ssbp3","Ssbp3","epoch1",-0.572782971573577
"Lrp8","Lrp8","epoch1",-0.166371905032148
"3110021N24Rik","3110021N24Rik","epoch1",-0.0917792839144692
"Txndc12","Txndc12","epoch1",-0.303467144364985
"Trabd2b","Trabd2b","epoch1",-0.156363793776423
"Pik3r3","Pik3r3","epoch1",-0.191485825226392
"Prdx1","Prdx1","epoch1",0.650638564541785
"2610528J11Rik","2610528J11Rik","epoch1",0.211832857033625
"Slc2a1","Slc2a1","epoch1",-0.351044516811894
"Pou3f1","Pou3f1","epoch1",0.29573511775479
"Phc2","Phc2","epoch1",-0.452462551683048
"Tmem54","Tmem54","epoch1",0.35999660541866
"Marcksl1","Marcksl1","epoch1",-0.705683804267833
"Fabp3","Fabp3","epoch1",0.308530083558461
"Laptm5","Laptm5","epoch1",0.376290104564676
"Slc30a2","Slc30a2","epoch1",0.398406484405401
"Rsrp1","Rsrp1","epoch1",0.0913159809114298
"Tcea3","Tcea3","epoch1",0.649909611319654
"Wnt4","Wnt4","epoch1",-0.258684352191572
"Camk2n1","Camk2n1","epoch1",-0.18956514724015
"Rcc2","Rcc2","epoch1",0.509771356385716
"Mfap2","Mfap2","epoch1",-0.353191959789864
"Epha2","Epha2","epoch1",0.16914243465124
"Zfp990","Zfp990","epoch1",0.800716173201463
"Zfp981","Zfp981","epoch1",0.235154794254884
"Zfp985","Zfp985","epoch1",0.76788778546258
"Eno1","Eno1","epoch1",0.297169076237883
"Hes5","Hes5","epoch1",-0.273533914748787
"Cyp51","Cyp51","epoch1",-0.20393974658428
"Dbf4","Dbf4","epoch1",0.361214910666955
"Cnpy1","Cnpy1","epoch1",0.155667619354229
"Mxd4","Mxd4","epoch1",-0.235445751189278
"Mfsd10","Mfsd10","epoch1",0.41438264213857
"Lrpap1","Lrpap1","epoch1",0.209814545406539
"Msx1","Msx1","epoch1",-0.301846307603085
"Nsg1","Nsg1","epoch1",-0.372237400165972
"Fgfbp1","Fgfbp1","epoch1",0.539465004720059
"Rbm47","Rbm47","epoch1",0.350750567949363
"Hopx","Hopx","epoch1",-0.0382177920510926
"Grsf1","Grsf1","epoch1",0.207115278345578
"Cdkl2","Cdkl2","epoch1",0.183511637945466
"G3bp2","G3bp2","epoch1",0.284863078802455
"Hnrnpdl","Hnrnpdl","epoch1",0.168068051061636
"Plac8","Plac8","epoch1",0.527144770104873
"Sparcl1","Sparcl1","epoch1",-0.350771740305847
"Ulk1","Ulk1","epoch1",0.323341992943723
"Tmem119","Tmem119","epoch1",-0.241737573279947
"Cabp1","Cabp1","epoch1",-0.0700119783733097
"Dynll1","Dynll1","epoch1",0.142313452321696
"Srrm4","Srrm4","epoch1",-0.122830561801867
"Dtx1","Dtx1","epoch1",0.361587841801232
"Aldh2","Aldh2","epoch1",0.590820345085062
"Auts2","Auts2","epoch1",-0.2921970778347
"Cldn4","Cldn4","epoch1",0.227562786358867
"Col26a1","Col26a1","epoch1",-0.0886728684914294
"Zfp113","Zfp113","epoch1",-0.1452535926388
"Pdgfa","Pdgfa","epoch1",0.232105565564364
"Tnrc18","Tnrc18","epoch1",-0.218112655021818
"Zfp316","Zfp316","epoch1",-0.15278593870589
"Hmgb1","Hmgb1","epoch1",-0.104761878106221
"Cdk6","Cdk6","epoch1",-0.0726957706832634
"Abcb1b","Abcb1b","epoch1",0.209447373517879
"Sema3a","Sema3a","epoch1",-0.368116949112887
"Sema3e","Sema3e","epoch1",-0.24141302678337
"Kmt2e","Kmt2e","epoch1",-0.399078914469585
"En2","En2","epoch1",-0.143569490782501
"Dpysl5","Dpysl5","epoch1",-0.322592816551524
"Gm1673","Gm1673","epoch1",-0.631598275254107
"Afap1","Afap1","epoch1",-0.144135860773513
"Crmp1","Crmp1","epoch1",0.123807728340197
"Lyar","Lyar","epoch1",0.284550752513806
"Pcdh7","Pcdh7","epoch1",-0.264284990917002
"Uchl1","Uchl1","epoch1",-0.163528369882142
"Limch1","Limch1","epoch1",-0.273905096320331
"Pdgfra","Pdgfra","epoch1",-0.135741208561786
"Kit","Kit","epoch1",-0.036256324216194
"C530008M17Rik","C530008M17Rik","epoch1",-0.299678091848562
"Rest","Rest","epoch1",0.514316120660074
"Adgrl3","Adgrl3","epoch1",-0.186494489309146
"Ccng2","Ccng2","epoch1",-0.175527754055364
"Fras1","Fras1","epoch1",-0.189015227904175
"Arhgap24","Arhgap24","epoch1",-0.254296963590051
"Spp1","Spp1","epoch1",0.709584907096749
"Mtf2","Mtf2","epoch1",0.625342183781854
"Fgfrl1","Fgfrl1","epoch1",-0.32365263368802
"Mn1","Mn1","epoch1",-0.338514764523748
"Ung","Ung","epoch1",0.412454387540031
"Msi1","Msi1","epoch1",-0.44039414485569
"Pla2g1b","Pla2g1b","epoch1",0.869823828102019
"Tbx3","Tbx3","epoch1",0.251488113161271
"Lhx5","Lhx5","epoch1",-0.207383617002347
"B3gnt4","B3gnt4","epoch1",-0.0420273143022799
"Tmem132c","Tmem132c","epoch1",-0.432508408796364
"Fzd10","Fzd10","epoch1",-0.412377235385102
"Cldn3","Cldn3","epoch1",0.030910545648052
"Hspb1","Hspb1","epoch1",0.705625796568849
"Sgce","Sgce","epoch1",-0.253372466881868
"Asns","Asns","epoch1",0.526104158226656
"Tspan12","Tspan12","epoch1",-0.330198404752664
"Aass","Aass","epoch1",0.286317131240961
"Podxl","Podxl","epoch1",-0.175798268449791
"Ptn","Ptn","epoch1",-0.719327230216831
"Hipk2","Hipk2","epoch1",-0.323203027626585
"Kdm7a","Kdm7a","epoch1",-0.429425283208983
"Mkrn1","Mkrn1","epoch1",0.628468064524217
"Tmem176b","Tmem176b","epoch1",-0.303545170629085
"Igf2bp3","Igf2bp3","epoch1",-0.5229105727935
"Skap2","Skap2","epoch1",-0.250694384648161
"Hoxa1","Hoxa1","epoch1",-0.112146279911704
"Hoxa2","Hoxa2","epoch1",-0.466570208633914
"Hoxa7","Hoxa7","epoch1",-0.406605520990067
"Hoxa9","Hoxa9","epoch1",-0.47493145990228
"Hoxa10","Hoxa10","epoch1",-0.402063007206481
"Evx1os","Evx1os","epoch1",-0.155564770783265
"Tril","Tril","epoch1",-0.241259183451004
"Gadd45a","Gadd45a","epoch1",0.442372372997972
"Tcf7l1","Tcf7l1","epoch1",0.219039019798508
"Tmsb10","Tmsb10","epoch1",-0.318045644493488
"Hk2","Hk2","epoch1",0.10372585484456
"Wbp1","Wbp1","epoch1",-0.393777174753111
"Tet3","Tet3","epoch1",-0.356857593592048
"Anxa4","Anxa4","epoch1",0.074151818542434
"H1fx","H1fx","epoch1",-0.44238223842591
"Podxl2","Podxl2","epoch1",-0.299509542847648
"Trh","Trh","epoch1",0.477688571124404
"Vgll4","Vgll4","epoch1",-0.362396525133987
"Tmem40","Tmem40","epoch1",0.443485000865714
"Plxnd1","Plxnd1","epoch1",-0.108834224303967
"Phc1","Phc1","epoch1",0.537535220628065
"Gdf3","Gdf3","epoch1",0.813494719689012
"Slc2a3","Slc2a3","epoch1",-0.23554874350672
"Tpi1","Tpi1","epoch1",-0.229512476209678
"Ptms","Ptms","epoch1",-0.666283541455035
"Tuba3a","Tuba3a","epoch1",0.334372181880293
"Cd9","Cd9","epoch1",0.575084714597213
"Ccnd2","Ccnd2","epoch1",-0.52234879918491
"Magohb","Magohb","epoch1",0.198590128033405
"Hist4h4","Hist4h4","epoch1",0.00634775049795354
"Ldhb","Ldhb","epoch1",0.683304368076269
"Sox5","Sox5","epoch1",-0.135307557086654
"Bcat1","Bcat1","epoch1",0.365232583010678
"Asb4","Asb4","epoch1",-0.129853947211038
"Met","Met","epoch1",-0.0900836701169232
"Ptprz1","Ptprz1","epoch1",-0.182864493524968
"Mest","Mest","epoch1",-0.412579081534777
"Cald1","Cald1","epoch1",-0.533912837072772
"Clec2l","Clec2l","epoch1",-0.0773018431013006
"Tmem176a","Tmem176a","epoch1",-0.229412667793671
"Hotairm1","Hotairm1","epoch1",-0.302848887847273
"Gm15050","Gm15050","epoch1",-0.379714317355059
"Hoxaas3","Hoxaas3","epoch1",-0.471891477273843
"Evx1","Evx1","epoch1",-0.0498600627867704
"Gng12","Gng12","epoch1",-0.447936954495301
"Reep1","Reep1","epoch1",-0.204227420884341
"Capg","Capg","epoch1",0.316763039016482
"Slc4a5","Slc4a5","epoch1",0.408415187585172
"Hmces","Hmces","epoch1",0.482362560849568
"Slc6a6","Slc6a6","epoch1",-0.117703444324877
"Lrrn1","Lrrn1","epoch1",-0.187570097331468
"Cxcl12","Cxcl12","epoch1",0.177256384930635
"Dppa3","Dppa3","epoch1",0.625020267462995
"Nanog","Nanog","epoch1",0.662940861762449
"Etnk1","Etnk1","epoch1",0.0993770871141235
"2810474O19Rik","2810474O19Rik","epoch1",0.491031863627397
"AU018091","AU018091","epoch1",0.584433177098405
"Cdc42ep5","Cdc42ep5","epoch1",0.156703023230515
"Tnnt1","Tnnt1","epoch1",-0.0374236041821804
"Cox6b2","Cox6b2","epoch1",0.198254390782795
"Tmem238","Tmem238","epoch1",0.423991009801021
"Peg3","Peg3","epoch1",-0.369396634954193
"Foxa3","Foxa3","epoch1",0.0200643935784471
"Igsf23","Igsf23","epoch1",0.477166804262829
"Pou2f2","Pou2f2","epoch1",-0.119879194171296
"Ltbp4","Ltbp4","epoch1",0.450468246092273
"Dll3","Dll3","epoch1",-0.164026817663435
"Spint2","Spint2","epoch1",0.394745633501304
"Aplp1","Aplp1","epoch1",0.378947792663404
"Kctd15","Kctd15","epoch1",-0.212215364962665
"Tdrd12","Tdrd12","epoch1",0.488912698429853
"Ccne1","Ccne1","epoch1",0.531974270004959
"Rcn3","Rcn3","epoch1",-0.1343787839154
"Emp3","Emp3","epoch1",-0.0815397181032878
"Snrpn","Snrpn","epoch1",0.434368300222116
"Peg12","Peg12","epoch1",-0.469898717922305
"Synm","Synm","epoch1",0.0364631075544406
"Nr2f2","Nr2f2","epoch1",-0.342012689122694
"St8sia2","St8sia2","epoch1",-0.126247533459954
"Mesp1","Mesp1","epoch1",-0.0872180183526828
"Idh2","Idh2","epoch1",-0.430930882702678
"Iqgap1","Iqgap1","epoch1",0.304092515639365
"Ap3b2","Ap3b2","epoch1",0.292302338831921
"Hdgfl3","Hdgfl3","epoch1",-0.383621228630725
"Tsku","Tsku","epoch1",-0.0767288292725074
"Mogat2","Mogat2","epoch1",-0.212422275945437
"Serpinh1","Serpinh1","epoch1",-0.715600506557379
"Folr1","Folr1","epoch1",0.509078595919657
"Lrrc51","Lrrc51","epoch1",-0.118174531473424
"Nup98","Nup98","epoch1",0.0721003549418124
"Lmo1","Lmo1","epoch1",-0.0596741011300063
"Calca","Calca","epoch1",0.233145581851453
"Sox6","Sox6","epoch1",-0.163989780518004
"Arl6ip1","Arl6ip1","epoch1",0.0984435037905965
"Lat","Lat","epoch1",0.220761210634019
"Nupr1","Nupr1","epoch1",0.17020202518871
"Aldoa","Aldoa","epoch1",0.135941598096361
"Mvp","Mvp","epoch1",0.360273807484486
"Sept1","Sept1","epoch1",0.504215090445758
"Pycard","Pycard","epoch1",0.66885441806295
"Fgfr2","Fgfr2","epoch1",-0.0274811150307583
"Oat","Oat","epoch1",-0.0637848694533403
"Nkx1-2","Nkx1-2","epoch1",-0.263679377425008
