"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Bsg","Bsg","epoch1",-0.203924216553427
"Prtn3","Prtn3","epoch1",-0.152957419453539
"Arid3a","Arid3a","epoch1",-0.39296718476145
"Cnn2","Cnn2","epoch1",0.0418263021818135
"Gpx4","Gpx4","epoch1",0.607062442783682
"Aes","Aes","epoch1",-0.0459673223718008
"1500009L16Rik","1500009L16Rik","epoch1",0.235493250557595
"Timp3","Timp3","epoch1",-0.238131521997718
"Sycp3","Sycp3","epoch1",0.590490391007554
"Cdk17","Cdk17","epoch1",0.0108346928497256
"Atp2b1","Atp2b1","epoch1",-0.359108004501553
"Poc1b","Poc1b","epoch1",-0.373358383075084
"Dusp6","Dusp6","epoch1",-0.317076949442874
"Kitl","Kitl","epoch1",-0.147638773025595
"Csrp2","Csrp2","epoch1",0.350420481772375
"Phlda1","Phlda1","epoch1",-0.317896109476194
"Lrig3","Lrig3","epoch1",-0.280732481933874
"Atp5b","Atp5b","epoch1",0.501300808997248
"Cd63","Cd63","epoch1",-0.159152124148586
"Myl7","Myl7","epoch1",0.0662909538537113
"Igfbp3","Igfbp3","epoch1",-0.207801108164618
"Ddc","Ddc","epoch1",0.280057970339877
"Grb10","Grb10","epoch1",-0.571567260603501
"Cobl","Cobl","epoch1",0.224397096990934
"Meis1","Meis1","epoch1",-0.392823356737945
"Fgf18","Fgf18","epoch1",-0.0569088320214736
"Npm1","Npm1","epoch1",0.411495258391074
"Hmmr","Hmmr","epoch1",0.184006588953089
"Ccng1","Ccng1","epoch1",-0.0611623517901821
"Sqstm1","Sqstm1","epoch1",0.273524722306006
"Rad50","Rad50","epoch1",0.227242967785161
"Pdlim4","Pdlim4","epoch1",-0.253063590469094
"Atox1","Atox1","epoch1",0.517959717113931
"Fam183b","Fam183b","epoch1",0.0458080169513141
"Cenpv","Cenpv","epoch1",0.372384054665477
"Lrrc75a","Lrrc75a","epoch1",-0.336875225081662
"Hs3st3b1","Hs3st3b1","epoch1",-0.253313658957554
"Chd3","Chd3","epoch1",-0.552702749000867
"Kdm6b","Kdm6b","epoch1",-0.430713226745182
"Efnb3","Efnb3","epoch1",-0.304825599726081
"Cd68","Cd68","epoch1",0.232560883318712
"Chrnb1","Chrnb1","epoch1",0.0277313493230016
"Eif5a","Eif5a","epoch1",0.30909790620586
"Pfn1","Pfn1","epoch1",0.0792127131746827
"6330403K07Rik","6330403K07Rik","epoch1",-0.477394875679709
"Smtnl2","Smtnl2","epoch1",-0.0276962236175077
"Srr","Srr","epoch1",-0.151738410825052
"Serpinf1","Serpinf1","epoch1",-0.302479281340759
"Rflnb","Rflnb","epoch1",-0.306485559356394
"Lhx1","Lhx1","epoch1",-0.24098937788288
"Ypel2","Ypel2","epoch1",-0.0133046085005484
"Gdpd1","Gdpd1","epoch1",-0.416203835742728
"Calcoco2","Calcoco2","epoch1",0.418033471907758
"Hoxb5os","Hoxb5os","epoch1",-0.490776690068243
"Hoxb3os","Hoxb3os","epoch1",-0.25794269136971
"Krt42","Krt42","epoch1",0.452212314920377
"Hap1","Hap1","epoch1",-0.160499887418021
"Jup","Jup","epoch1",0.40496556855133
"Stat5b","Stat5b","epoch1",-0.177555998531997
"Meox1","Meox1","epoch1",-0.14029146224109
"Sost","Sost","epoch1",-0.146614402532578
"Limd2","Limd2","epoch1",-0.606538780684214
"Pecam1","Pecam1","epoch1",0.439660164607963
"Cpsf4l","Cpsf4l","epoch1",0.496941802389731
"Sdk2","Sdk2","epoch1",-0.203965769012265
"Jpt1","Jpt1","epoch1",-0.331852878754141
"Rnf157","Rnf157","epoch1",-0.145441881971916
"Tk1","Tk1","epoch1",-0.0504252294352223
"Timp2","Timp2","epoch1",-0.34545994046981
"Tbc1d16","Tbc1d16","epoch1",-0.301900297831177
"Notum","Notum","epoch1",0.274205461522649
"Dcxr","Dcxr","epoch1",0.121594062987431
"Gatsl3","Gatsl3","epoch1",0.488247145534621
"Ccdc88a","Ccdc88a","epoch1",-0.351885576243158
"Sh3pxd2b","Sh3pxd2b","epoch1",-0.292160154296662
"Pank3","Pank3","epoch1",-0.0335140018747543
"4933415A04Rik","4933415A04Rik","epoch1",-0.176811102683169
"Ebf1","Ebf1","epoch1",-0.0347573373674741
"Gfpt2","Gfpt2","epoch1",0.157729149242948
"Rnf130","Rnf130","epoch1",-0.459708085395916
"Col23a1","Col23a1","epoch1",-0.188514146556709
"Nhp2","Nhp2","epoch1",0.516135769354908
"9530068E07Rik","9530068E07Rik","epoch1",-0.51962706261565
"P4ha2","P4ha2","epoch1",-0.15845587297442
"Mfap4","Mfap4","epoch1",-0.349354835628972
"Pmp22","Pmp22","epoch1",-0.331510142588676
"Myh10","Myh10","epoch1",-0.373874769829743
"Hes7","Hes7","epoch1",-0.231939017167551
"Trp53","Trp53","epoch1",0.454032946478453
"Sox15","Sox15","epoch1",0.453863265550681
"Cldn7","Cldn7","epoch1",0.127185447244352
"Gabarap","Gabarap","epoch1",-0.482687852016844
"Eno3","Eno3","epoch1",-0.443021148577957
"Pimreg","Pimreg","epoch1",-0.222551597870572
"Rab34","Rab34","epoch1",-0.364467766444402
"Lhx1os","Lhx1os","epoch1",-0.178690788558292
"Car4","Car4","epoch1",0.0293713033880074
"Tex14","Tex14","epoch1",0.262634199661047
"Vezf1","Vezf1","epoch1",-0.592888544304154
"Cuedc1","Cuedc1","epoch1",-0.475990596243894
"Mmd","Mmd","epoch1",-0.403388575872945
"Samd14","Samd14","epoch1",-0.241193891781841
"Hoxb9","Hoxb9","epoch1",-0.52367529429987
"Hoxb8","Hoxb8","epoch1",-0.518063288810781
"Hoxb7","Hoxb7","epoch1",-0.422324114493307
"Hoxb6","Hoxb6","epoch1",-0.338134637641423
"Hoxb5","Hoxb5","epoch1",-0.269690730547542
"Hoxb4","Hoxb4","epoch1",-0.473501928604496
"Hoxb3","Hoxb3","epoch1",-0.470826829485784
"Hoxb2","Hoxb2","epoch1",-0.622505373113906
"Hoxb1","Hoxb1","epoch1",-0.283675147986352
"Prr15l","Prr15l","epoch1",0.121181755501607
"Mllt6","Mllt6","epoch1",0.184592272651377
"Cdc6","Cdc6","epoch1",0.0861662474400624
"Igfbp4","Igfbp4","epoch1",-0.387495695840246
"Fzd2","Fzd2","epoch1",-0.549384378532638
"Arhgap27os2","Arhgap27os2","epoch1",0.0268397310058478
"Wnt3","Wnt3","epoch1",-0.0451887055172533
"Axin2","Axin2","epoch1",0.0275617856626886
"Sox9","Sox9","epoch1",-0.266146306005226
"Slc9a3r1","Slc9a3r1","epoch1",-0.057804126552481
"Rnf213","Rnf213","epoch1",-0.102920315743703
"Slc16a3","Slc16a3","epoch1",-0.154452617651887
"Tex19.1","Tex19.1","epoch1",0.771928349594931
"Gm46332","Gm46332","epoch1",0.488157148439872
"Ubxn2a","Ubxn2a","epoch1",0.449453429895723
"Rhob","Rhob","epoch1",-0.28569011700394
"Mycn","Mycn","epoch1",0.489624740076039
"Greb1","Greb1","epoch1",-0.568375715730608
"Id2","Id2","epoch1",-0.588871857650143
"Sox11","Sox11","epoch1",-0.72251653682138
"Cfl2","Cfl2","epoch1",-0.467184088189334
"Baz1a","Baz1a","epoch1",-0.325059847582396
"Nfkbia","Nfkbia","epoch1",0.32690179130053
"Rpl10l","Rpl10l","epoch1",0.556861103866911
"Nin","Nin","epoch1",-0.239337049613749
"Trim9","Trim9","epoch1",-0.156088590621948
"Rtn1","Rtn1","epoch1",-0.262443901578007
"Gpx2","Gpx2","epoch1",0.126334040524996
"Rab15","Rab15","epoch1",-0.00151937330132208
"Zfp36l1","Zfp36l1","epoch1",-0.440695979983899
"Npc2","Npc2","epoch1",-0.400131232228333
"Rps6kl1","Rps6kl1","epoch1",0.37388496554745
"Foxn3","Foxn3","epoch1",-0.146661267976624
"Gsc","Gsc","epoch1",-0.0861652818541539
"Tcl1","Tcl1","epoch1",0.47607667804672
"Hsp90aa1","Hsp90aa1","epoch1",0.755429588324452
"Ckb","Ckb","epoch1",0.185267214723012
"Akt1","Akt1","epoch1",-0.334375991332294
"Ahnak2","Ahnak2","epoch1",-0.0157193854678101
"Sdc1","Sdc1","epoch1",-0.275432755306084
"Pdia6","Pdia6","epoch1",0.0180443130994362
"Hpcal1","Hpcal1","epoch1",-0.429255461490472
"Pxdn","Pxdn","epoch1",-0.357731812375924
"Efcab10","Efcab10","epoch1",0.120609731692348
"Twist1","Twist1","epoch1",-0.302452848491443
"1110008L16Rik","1110008L16Rik","epoch1",0.437604438697891
"Klhdc2","Klhdc2","epoch1",-0.646883025637776
"Tmx1","Tmx1","epoch1",-0.441873532557992
"Dact1","Dact1","epoch1",-0.206977878427748
"Syne2","Syne2","epoch1",-0.345047264062057
"Susd6","Susd6","epoch1",0.0634646056418492
"Smoc1","Smoc1","epoch1",-0.149060356435437
"Acot1","Acot1","epoch1",-0.0303649792499689
"Esrrb","Esrrb","epoch1",0.471031906414153
"Chga","Chga","epoch1",0.0109584892764309
"Eml1","Eml1","epoch1",-0.37338672245517
"Dlk1","Dlk1","epoch1",-0.133881049864183
"Adssl1","Adssl1","epoch1",-0.0732504978851618
"Crip2","Crip2","epoch1",0.225301544288372
"Crip1","Crip1","epoch1",0.461960336093869
"Pfkp","Pfkp","epoch1",0.321897416815237
"Zmynd11","Zmynd11","epoch1",-0.329374089966638
"Hist1h1b","Hist1h1b","epoch1",0.149635292417996
"Hist1h1e","Hist1h1e","epoch1",-0.127981806011216
"Sox4","Sox4","epoch1",-0.626294683708767
"Serpinb6a","Serpinb6a","epoch1",0.147948880132103
"Atxn1","Atxn1","epoch1",-0.0791494244624515
"Card19","Card19","epoch1",-0.0228354775885754
"Ror2","Ror2","epoch1",-0.27004757119806
"Cltb","Cltb","epoch1",0.359965506241406
"Dbn1","Dbn1","epoch1",-0.626711033712062
"H2afy","H2afy","epoch1",-0.374497520016993
"Gas1","Gas1","epoch1",-0.518307769811726
"Ctsl","Ctsl","epoch1",-0.296765996802712
"Eprn","Eprn","epoch1",0.316693782466015
"Rhobtb3","Rhobtb3","epoch1",-0.514827943302994
