"","epoch3"
"1","Eya1"
"2","Sema4c"
"3","Fhl2"
"4","Hspd1"
"5","Igfbp5"
"6","Epha4"
"7","Pax3"
"8","Kif1a"
"9","Dbi"
"10","Cxcr4"
"11","Mapkapk2"
"12","Ier5"
"13","Prdx6"
"14","Prrx1"
"15","Pea15a"
"16","Atp1a2"
"17","Hnrnpu"
"18","Enah"
"19","Capn2"
"20","Tgfb2"
"21","Nenf"
"22","Rdh10"
"23","Pou3f3"
"24","Fzd7"
"25","Bmpr2"
"26","Igfbp2"
"27","Ptma"
"28","Phlda3"
"29","Tagln2"
"30","Kif26b"
"31","Pycr2"
"32","Plxna2"
"33","Rgs17"
"34","Phactr2"
"35","Abracl"
"36","Rps12"
"37","Arg1"
"38","Rspo3"
"39","Tpd52l1"
"40","Marcks"
"41","H2afy2"
"42","Cdk1"
"43","Bicc1"
"44","Pfkl"
"45","Gamt"
"46","Nuak1"
"47","Ckap4"
"48","Atxn7l3b"
"49","Hmga2"
"50","Lrp1"
"51","Cited2"
"52","Samd3"
"53","Fyn"
"54","Cd24a"
"55","P4ha1"
"56","Ppa1"
"57","Rhobtb1"
"58","Cstb"
"59","Bsg"
"60","Arid3a"
"61","Cnn2"
"62","Timp3"
"63","Dusp6"
"64","Csrp2"
"65","Phlda1"
"66","Ppm1h"
"67","Lrig3"
"68","Grb10"
"69","Meis1"
"70","Npm1"
"71","Ccng1"
"72","Pdlim4"
"73","Lrrc75a"
"74","Kdm6b"
"75","Efnb3"
"76","Eif5a"
"77","Pfn1"
"78","6330403K07Rik"
"79","Rflnb"
"80","Lhx1"
"81","Nog"
"82","Hoxb3os"
"83","Top2a"
"84","Krt19"
"85","Etv4"
"86","Meox1"
"87","Limd2"
"88","Jpt1"
"89","Galk1"
"90","Tk1"
"91","Ccdc88a"
"92","Sh3pxd2b"
"93","Ebf1"
"94","Col23a1"
"95","9530068E07Rik"
"96","P4ha2"
"97","Mfap4"
"98","Pmp22"
"99","Myh10"
"100","Hes7"
"101","Gabarap"
"102","Eno3"
"103","Pimreg"
"104","Rab34"
"105","Lhx1os"
"106","Vezf1"
"107","Cuedc1"
"108","Mmd"
"109","Hoxb5"
"110","Hoxb4"
"111","Hoxb3"
"112","Hoxb2"
"113","Hoxb1"
"114","Igfbp4"
"115","Fzd2"
"116","1810010H24Rik"
"117","Sox9"
"118","Gprc5c"
"119","Rab37"
"120","Slc9a3r1"
"121","Birc5"
"122","Rnf213"
"123","Mycn"
"124","Greb1"
"125","Sox11"
"126","Cfl2"
"127","Baz1a"
"128","Foxa1"
"129","Zfp36l1"
"130","Npc2"
"131","Akt1"
"132","Sdc1"
"133","Hpcal1"
"134","Rrm2"
"135","Pxdn"
"136","Twist1"
"137","Npas3"
"138","Klhdc2"
"139","Tmx1"
"140","Dact1"
"141","Smoc1"
"142","Calm1"
"143","Zmynd11"
"144","Sox4"
"145","Serpinb6a"
"146","Tubb2b"
"147","Pxdc1"
"148","Nedd9"
"149","Dbn1"
"150","H2afy"
"151","Gas1"
"152","Rhobtb3"
"153","Vcan"
"154","F2r"
"155","Hmgcr"
"156","Ccnb1"
"157","Erbin"
"158","Foxc1"
"159","Cks2"
"160","Cplx2"
"161","Dapk1"
"162","Ssbp2"
"163","Mtx3"
"164","Foxd1"
"165","Serf1"
"166","Emb"
"167","Fgf10"
"168","Zfp503"
"169","2610528A11Rik"
"170","Psme2"
"171","Gata4"
"172","Dpysl2"
"173","Spry2"
"174","Top2b"
"175","Nid2"
"176","Il17rd"
"177","Tnnc1"
"178","Samd4"
"179","Carmil3"
"180","Shisa2"
"181","Clu"
"182","Loxl2"
"183","Tsc22d1"
"184","Gpc6"
"185","Farp1"
"186","Basp1"
"187","Eef1d"
"188","Csnk1e"
"189","Phf5a"
"190","Yaf2"
"191","Slc38a4"
"192","Tuba1b"
"193","Racgap1"
"194","Fignl2"
"195","Krt8"
"196","Ppp1r1a"
"197","Laptm4b"
"198","Ptp4a3"
"199","Ly6e"
"200","H1f0"
"201","Tspo"
"202","Ranbp1"
"203","Fam162a"
"204","Boc"
"205","Dzip3"
