"","TG","TF","zscore","corr","offset","weighted_score"
"759","Sgk1","Mycn",3.07956033708305,0.239515844784088,4.50802139037433,3.07956033708305
"760","Sgk1","Tgif1",7.74549691962948,0.259817136185017,-5.1283422459893,7.74549691962948
"761","Sgk1","Foxd3",5.92205867377833,0.230210788041853,-1.01069518716578,5.92205867377833
"762","Sgk1","Tcea3",4.5734011634529,0.28338130149105,2.16577540106952,4.5734011634529
"763","Sgk1","Ybx3",4.42350270049668,0.251149161962399,-7.79144385026738,4.42350270049668
"764","Sgk1","Zfp428",3.92001466595145,0.23418617721561,-0.288770053475936,3.92001466595145
"765","Ctgf","Id4",3.04444058083463,0.128488751860136,-22.620320855615,3.04444058083463
"766","Ctgf","Etv5",3.11094063599405,0.160815768161013,-2.14438502673797,3.11094063599405
"767","Ctgf","Smad7",4.89694094538168,0.166232047004034,7.50267379679144,4.89694094538168
"768","Ctgf","Tcea3",4.00983547634276,0.179868940496034,-16.144385026738,4.00983547634276
"769","Ctgf","Zfp428",4.65569121485604,0.187175772045282,13.0588235294118,4.65569121485604
"770","Ctgf","Zfp42",4.68163880204557,0.192028852024553,11.9679144385027,4.68163880204557
"771","Ctgf","Klf2",3.87728533397215,0.177365967363975,10.4545454545455,3.87728533397215
"772","Samd3","Prrx1",4.31048216171258,0.27428067724833,-98.4598930481283,4.31048216171258
"773","Samd3","Stat5b",3.13345715824272,0.130722772469334,-92.5775401069519,3.13345715824272
"774","Samd3","Sox9",19.0214640092161,0.607068495115964,-29.7433155080214,19.0214640092161
"775","Samd3","Foxa1",10.1332583064693,0.40118500733378,-66.3636363636364,10.1332583064693
"776","Samd3","Irx1",4.43098157826389,0.214056256734136,-95.4171122994652,4.43098157826389
"777","Samd3","Foxd1",3.65249667213802,0.262445602547783,-63.1657754010695,3.65249667213802
"778","Samd3","Asxl3",3.61029503121799,0.156792701691564,-79.8930481283422,3.61029503121799
"779","Samd3","Zfp516",5.62769178813728,0.195791603631727,-80.0320855614973,5.62769178813728
"780","Samd3","Smarca2",5.42772893770776,0.189729601947158,-80.3101604278075,5.42772893770776
"781","Samd3","Notch1",3.06224409188026,0.150100262249664,-106.967914438503,3.06224409188026
"782","Samd3","Bmp2",7.11814485608991,0.372333822320436,6.59893048128342,7.11814485608991
"783","Samd3","Zfhx4",6.7047302952524,0.314695481550335,-56.6524064171123,6.7047302952524
"784","Samd3","Sox5",9.52018726468577,0.369482017739021,-71.8021390374332,9.52018726468577
"785","Samd3","Dbx1",12.6494694995675,0.483378402655467,-161.101604278075,12.6494694995675
"786","Samd3","Sox6",3.91148234222663,0.201137624230846,-155.155080213904,3.91148234222663
"788","Fyn","Hoxb2",3.38999728811946,0.140815375832085,9.27807486631016,3.38999728811946
"789","Fyn","Zfp503",3.15866084447916,0.136821771224343,9.32620320855615,3.15866084447916
"790","Fyn","Cited1",3.41802366392335,0.140145036867343,26.1978609625668,3.41802366392335
"791","Cd24a","Terf1",3.39350740640015,-0.298049517781653,-4.20320855614973,3.39350740640015
"792","Cd24a","Arid5b",3.05800930834725,-0.378892680020869,-15.6951871657754,3.05800930834725
"793","Cd24a","Ebf1",4.24929235678456,0.18983220016303,0.347593582887701,4.24929235678456
"794","Cd24a","Vezf1",3.65531406661588,0.247710809921718,-5.3475935828877,3.65531406661588
"795","Cd24a","Id2",3.24008751693383,0.203481438522834,0.165775401069519,3.24008751693383
"796","Cd24a","Sox11",4.25070807317406,0.420825978427044,-0.540106951871658,4.25070807317406
"797","Cd24a","Sox4",4.42921162345844,0.367539354148339,1.17112299465241,4.42921162345844
"798","Cd24a","Pbx3",3.16269163680894,0.303153507684986,-6.63101604278075,3.16269163680894
"799","Cd24a","Bmi1",3.42826400356058,0.135009771797251,3.41711229946524,3.42826400356058
"800","Cd24a","Ncoa3",3.233642828922,-0.281323467669194,-17.4973262032086,3.233642828922
"801","Cd24a","Mllt3",3.09425315779318,0.164378736716717,-3.68983957219251,3.09425315779318
"802","Cd24a","Zfp979",3.31535141475152,-0.314691227547063,-1.02139037433155,3.31535141475152
"803","Cd24a","Tcea3",3.8182755381229,-0.382105545948675,-2.38502673796791,3.8182755381229
"804","Cd24a","Zfp990",3.86275823903328,-0.34797397220225,15.7807486631016,3.86275823903328
"805","Cd24a","Zfp985",4.66427733116897,-0.363956179684308,0.336898395721925,4.66427733116897
"806","Cd24a","Zfp428",3.22948784125782,-0.24628162240229,4.51871657754011,3.22948784125782
"807","Cd24a","Tead2",4.047401568722,0.420893497362363,-9.82887700534759,4.047401568722
"808","Cd24a","Zfp42",5.02341240256221,-0.469141718437185,18.5828877005348,5.02341240256221
"809","Cd24a","Irx3",6.16152584248073,0.254381277978879,-10.0267379679144,6.16152584248073
"810","Cd24a","Jund",3.79139711307804,0.234526667317155,-6.25133689839572,3.79139711307804
"811","Cd24a","Klf2",4.26707000804279,-0.440603405893461,-3.64705882352941,4.26707000804279
"812","Cd24a","Irx5",3.77499216441804,0.154254739355247,34.4224598930481,2.28137703365653
"813","Cd24a","Tcf12",3.27571408614349,0.218090150328153,-8.9144385026738,3.27571408614349
"814","Fabp7","Sox11",3.39109703978118,0.269322130360783,-16.7914438502674,3.39109703978118
"815","Fabp7","T",3.32373883520783,0.267277887798953,-20.7272727272727,3.32373883520783
"816","Fabp7","Meis2",4.11022138042655,0.273627209151999,18.1176470588235,4.11022138042655
"817","Fabp7","Pitx2",3.51058908151817,0.271971458004898,-4.50802139037433,3.51058908151817
"818","Fabp7","Meis3",3.58925286776683,0.254903732342243,-7.59893048128342,3.58925286776683
"819","Fabp7","Tead2",5.35325990644686,0.32376350441259,-41.1176470588235,5.35325990644686
"820","Fabp7","Utf1",4.41140550794709,-0.298651585044422,1.64705882352941,4.41140550794709
"821","Fabp7","Klf2",3.09168873642109,-0.260536236212214,-29.0641711229947,3.09168873642109
"822","P4ha1","Phf5a",3.1344894841942,-0.229169872934778,10.6042780748663,3.1344894841942
"823","P4ha1","Zbtb20",3.86452114104209,0.141197641246768,5.06417112299465,3.86452114104209
"824","P4ha1","Mxi1",4.01012782755319,0.141632967082128,24.144385026738,4.01012782755319
"825","P4ha1","Lyar",3.55840571190852,-0.240404036831192,-16.8235294117647,3.55840571190852
"826","P4ha1","Zic1",3.33415313078761,0.136725362543767,-38.1122994652406,3.33415313078761
