"","epoch2"
"323","Ptp4a1"
"324","Sema4c"
"325","Cfc1"
"326","Wnt6"
"327","Ackr3"
"328","Lefty1"
"329","Nuak1"
"330","Nxph4"
"331","Perp"
"332","P4ha1"
"333","Cnn2"
"334","Timp3"
"335","Myl7"
"336","Hs3st3b1"
"337","Efnb3"
"338","Stat5b"
"339","Timp2"
"340","Samd14"
"341","Sox9"
"342","Dlk1"
"343","Adssl1"
"344","Foxq1"
"345","Dsp"
"346","Naga"
"347","Prickle1"
"348","Itga5"
"349","Ppp1r1a"
"350","P3h2"
"351","Nrip1"
"352","Pros1"
"353","Robo1"
"354","Epb41l3"
"355","Lbh"
"356","Pkdcc"
"357","Dpysl3"
"358","Asxl3"
"359","Zfp516"
"360","Rbp4"
"361","Ablim1"
"362","Vldlr"
"363","Jak2"
"364","Pax2"
"365","Celf2"
"366","Actc1"
"367","Plagl2"
"368","Fam107b"
"369","Col5a1"
"370","Olfm1"
"371","Cd59a"
"372","Bmp2"
"373","Cox4i2"
"374","Cd40"
"375","Edn3"
"376","Csf1"
"377","Cth"
"378","Lhfp"
"379","Prss12"
"380","Cer1"
"381","Klhl9"
"382","Gm26881"
"383","Zfp618"
"384","Nfia"
"385","Tmem119"
"386","Msi1"
"387","Tbx3"
"388","Lhx5"
"389","Plxnd1"
"390","Hist4h4"
"391","Evx1"
"392","Reep1"
"393","Emp3"
"394","Tsku"
"395","Sct"
"396","Meis3"
"397","Tgfb1"
"398","Vstm2b"
"399","Rab38"
"400","Gm35082"
"401","Tgfb1i1"
"402","Dpysl4"
"403","Junb"
"404","Sfrp1"
"405","Rnf122"
"406","Gm10638"
"407","Slc35g2"
"408","Ets1"
"409","Dynlt3"
"410","Gpc4"
"411","Tmem185a"
"412","Capn6"
"413","Efnb1"
"414","Ddx3y"
