"","epoch2"
"1","Hspd1"
"2","Dbi"
"3","Prdx6"
"4","Hnrnpu"
"5","Enah"
"6","Terf1"
"7","Dst"
"8","Zdbf2"
"9","Igfbp2"
"10","Ptma"
"11","Tagln2"
"12","Pycr2"
"13","Abracl"
"14","Rps12"
"15","Marcks"
"16","H2afy2"
"17","Tet1"
"18","Cdk1"
"19","Pfkl"
"20","Agpat3"
"21","Ckap4"
"22","Akap12"
"23","Cited2"
"24","Sgk1"
"25","Cd24a"
"26","Ppa1"
"27","Chchd10"
"28","Cstb"
"29","Bsg"
"30","Cnn2"
"31","Gpx4"
"32","Aes"
"33","Csrp2"
"34","Npm1"
"35","Ccng1"
"36","Pttg1"
"37","Atox1"
"38","Cenpv"
"39","Eif5a"
"40","Pfn1"
"41","Epop"
"42","Top2a"
"43","Limd2"
"44","Jpt1"
"45","Galk1"
"46","Tk1"
"47","Upp1"
"48","Aurkb"
"49","Gabarap"
"50","Rab34"
"51","Lhx1os"
"52","Slc9a3r1"
"53","Birc5"
"54","Mycn"
"55","Sox11"
"56","Cfl2"
"57","Zfp36l1"
"58","Npc2"
"59","Hsp90aa1"
"60","Ckb"
"61","Rrm2"
"62","Klhdc2"
"63","Tmx1"
"64","Calm1"
"65","Crip2"
"66","Sox4"
"67","Serpinb6a"
"68","Tubb2b"
"69","H2afy"
"70","Hmgcr"
"71","Ccnb1"
"72","Cks2"
"73","Emb"
"74","Psme2"
"75","Tdh"
"76","Cdca2"
"77","Spry2"
"78","Tsc22d1"
"79","Basp1"
"80","Eef1d"
"81","Csnk1e"
"82","Phf5a"
"83","Pmm1"
"84","Tuba1b"
"85","Racgap1"
"86","Myo10"
"87","Laptm4b"
"88","Ly6e"
"89","Tspo"
"90","Tuba1c"
"91","Ranbp1"
"92","Etv5"
"93","Fam162a"
"94","Hspbap1"
"95","Dppa4"
"96","Dppa2"
"97","Morc1"
"98","Ttc3"
"99","Ezr"
"100","Qk"
"101","Acat2"
"102","Tubb5"
"103","Plin3"
"104","Tgif1"
"105","Srsf7"
"106","Hcfc1r1"
"107","Srsf3"
"108","Platr17"
"109","Clic1"
"110","Ddah2"
"111","Ddx39b"
"112","Dhx16"
"113","Gm42418"
"114","Epcam"
"115","Msh6"
"116","Egr1"
"117","Cxxc5"
"118","Tubb6"
"119","Cyb5a"
"120","Malat1"
"121","Rtn3"
"122","Gng3"
"123","Incenp"
"124","Psat1"
"125","Gldc"
"126","Pdlim1"
"127","Avpi1"
"128","Npm3"
"129","Klf9"
"130","Scd2"
"131","Ina"
"132","Rbms1"
"133","Mdk"
"134","Rcn1"
"135","Sall4"
"136","Aurka"
"137","Vim"
"138","Commd3"
"139","Hspa5"
"140","Rif1"
"141","Hat1"
"142","Hnrnpa3"
"143","Nusap1"
"144","Dut"
"145","Eid1"
"146","Tpx2"
"147","Top1"
"148","Gnas"
"149","Tpd52"
"150","Ccna2"
"151","Fdps"
"152","Cks1b"
"153","Lmo4"
"154","Stmn2"
"155","Fabp5"
"156","Car2"
"157","Sox2"
"158","Jade1"
"159","Smc4"
"160","S100a10"
"161","Psrc1"
"162","Gclm"
"163","Cenpe"
"164","Pnrc1"
"165","Cdca8"
"166","Zfp979"
"167","Chd7"
"168","Rragd"
"169","L1td1"
"170","Ssbp3"
"171","Txndc12"
"172","Clspn"
"173","Sfpq"
"174","Marcksl1"
"175","Rsrp1"
"176","Tcea3"
"177","Rcc2"
"178","Zfp990"
"179","Zfp985"
"180","Cyp51"
"181","Dbf4"
"182","Mfsd10"
"183","G3bp2"
"184","Hnrnpdl"
"185","Dynll1"
"186","Aldh2"
"187","Pdgfa"
"188","Actb"
"189","Hmgb1"
"190","Cenpa"
"191","Lyar"
"192","Uchl1"
"193","Spp1"
"194","Hspb1"
"195","Asns"
"196","Mkrn1"
"197","Igf2bp3"
"198","Skap2"
"199","Tmsb10"
"200","Mthfd2"
"201","H1fx"
"202","Phc1"
"203","Gdf3"
"204","Slc2a3"
"205","Tpi1"
