"","epoch3"
"293","Gm1673"
"294","Lyar"
"295","Limch1"
"296","C530008M17Rik"
"297","Rest"
"298","Arhgap24"
"299","Fgfrl1"
"300","Tmem132c"
"301","Fzd10"
"302","Tspan12"
"303","Ptn"
"304","Hipk2"
"305","Kdm7a"
"306","Tmem176b"
"307","Igf2bp3"
"308","Skap2"
"309","Hoxa1"
"310","Hoxa2"
"311","Hoxa9"
"312","Tmsb10"
"313","H1fx"
"314","Tpi1"
"315","Ptms"
"316","Ccnd2"
"317","Sox5"
"318","Cald1"
"319","Hotairm1"
"320","Gm15050"
"321","Hoxaas3"
"322","Gng12"
"323","Slc6a6"
"324","Peg3"
"325","Dll3"
"326","Kctd15"
"327","Peg12"
"328","Synm"
"329","Nr2f2"
"330","Mesp1"
"331","Idh2"
"332","Hdgfl3"
"333","Mogat2"
"334","Serpinh1"
"335","Sox6"
"336","Arl6ip1"
"337","Aldoa"
"338","Kcnq1ot1"
"339","Tead2"
"340","Ldha"
"341","Ndn"
"342","Igf1r"
"343","Rgma"
"344","Tenm4"
"345","Ndufc2"
"346","Mettl9"
"347","Ypel3"
"348","Tbx6"
"349","Ifitm1"
"350","Ctxn1"
"351","Col4a1"
"352","Ash2l"
"353","Tnks"
"354","Slc25a4"
"355","Galnt7"
"356","Ier2"
"357","Calr"
"358","Sall1"
"359","Cotl1"
"360","Fgfr1"
"361","Zfp703"
"362","Hmgb2"
"363","Tpm4"
"364","Ddx39"
"365","Prdx2"
"366","Nkd1"
"367","Cmtm3"
"368","Foxc2"
"369","Rhou"
"370","Amotl1"
"371","Jam3"
"372","Ntm"
"373","Sc5d"
"374","Pafah1b2"
"375","Ncam1"
"376","Tpm1"
"377","Foxb1"
"378","Ccnb2"
"379","Tcf12"
"380","Fam212a"
"381","Pth1r"
"382","Higd1a"
"383","Hspa8"
"384","Crabp1"
"385","Rcn2"
"386","Stra6"
"387","Igdcc3"
"388","Pclaf"
"389","Adam10"
"390","Aldh1a2"
"391","Prtg"
"392","Zic4"
"393","Pcbp4"
"394","Prkar2a"
"395","mt-Co1"
"396","Clcn5"
"397","Gpc3"
"398","Maged1"
"399","Cited1"
"400","Pcdh19"
"401","Tspan6"
"402","Bex2"
"403","Tceal8"
"404","Bex1"
"405","Maged2"
"406","Tmsb4x"
"407","Slc25a5"
"408","Fhl1"
"409","Hmgb3"
"410","Nsdhl"
"411","Dkc1"
"412","Tceal9"
"413","Fam199x"
"414","Mum1l1"
"415","Eya1"
"416","Igfbp5"
"417","Tmem37"
"418","Hmcn1"
"419","Prrx1"
"420","Vangl2"
"421","Rdh10"
"422","Inpp4a"
"423","Col3a1"
"424","Nrp2"
"425","Ildr2"
"426","Bicc1"
"427","Lrp1"
"428","Gdf11"
"429","Fyn"
"430","Ppil6"
"431","Fabp7"
"432","Rhobtb1"
"433","Poc1b"
"434","Kitl"
"435","Fgf18"
"436","Lrrc75a"
"437","Chd3"
"438","Srr"
"439","Serpinf1"
"440","Rflnb"
"441","Gdpd1"
"442","Rnf157"
"443","Tbc1d16"
"444","Sh3pxd2b"
"445","Pank3"
"446","4933415A04Rik"
"447","Ebf1"
"448","P4ha2"
"449","Eno3"
"450","Cuedc1"
"451","Mmd"
"452","Rhob"
"453","Id2"
"454","Syne2"
"455","Erbin"
"456","Isl1"
"457","Rbm24"
"458","Cplx2"
"459","Ssbp2"
"460","Mtx3"
"461","Foxd1"
"462","Pcdh8"
"463","Rnase4"
"464","Clu"
"465","Ebf2"
"466","Loxl2"
"467","Tnfrsf10b"
"468","Lpar6"
"469","Farp1"
"470","Trio"
"471","Plxnb2"
"472","Col2a1"
"473","Adcy6"
"474","Zfp41"
"475","Grina"
"476","Sept3"
"477","Acvr1b"
"478","Grasp"
"479","2510009E07Rik"
"480","Boc"
"481","Heg1"
"482","Il10rb"
"483","Metrn"
"484","Wfikkn1"
"485","Zfp811"
"486","Vegfa"
"487","Efna5"
"488","H2-Ab1"
"489","Shd"
"490","Tnfsf9"
"491","Lama1"
"492","Rhoq"
"493","Zfp521"
"494","Gfra3"
"495","Cdx1"
"496","Rnf165"
"497","Setbp1"
"498","Slc12a2"
"499","Pdgfrb"
"500","Slit1"
"501","Doc2g"
"502","2700081O15Rik"
"503","Kank1"
"504","Smarca2"
"505","Sema4g"
"506","Mxi1"
"507","Tcf7l2"
"508","Ier5l"
"509","Dennd1a"
"510","2700033N17Rik"
"511","Angptl2"
"512","Acvr2a"
"513","Lrp4"
"514","Mapkbp1"
"515","Sema6d"
"516","1700003F12Rik"
"517","Nnat"
"518","Anxa5"
"519","Pfn2"
"520","Fhdc1"
"521","Nes"
"522","Slc25a24"
"523","Jun"
"524","Spsb1"
"525","Ccne2"
"526","Pappa"
"527","Ak4"
"528","Lrp8"
"529","3110021N24Rik"
"530","Trabd2b"
"531","Pik3r3"
"532","Wnt4"
"533","Camk2n1"
"534","Mfap2"
"535","Mxd4"
"536","Cabp1"
"537","Srrm4"
"538","Col26a1"
"539","Tnrc18"
"540","Zfp316"
"541","Sema3a"
"542","Afap1"
"543","Adgrl3"
"544","Ccng2"
"545","Fras1"
"546","Mn1"
"547","B3gnt4"
"548","Sgce"
"549","Hoxa7"
"550","Hoxa10"
"551","Tril"
"552","Tet3"
"553","Podxl2"
"554","Vgll4"
"555","Met"
"556","Ptprz1"
"557","Clec2l"
"558","Tmem176a"
"559","Lrrn1"
"560","Rcn3"
"561","St8sia2"
"562","Lrrc51"
"563","Dact3"
"564","Tshz3"
"565","Mesp2"
"566","Parva"
"567","Efnb2"
"568","Atp7b"
"569","Nrg1"
"570","Stox2"
"571","Cpe"
"572","Psd3"
"573","Egln1"
"574","Plat"
"575","Irf2"
"576","Zbtb16"
"577","Lingo1"
"578","Neo1"
"579","Smad3"
"580","Hmgn3"
"581","Spsb4"
"582","Nectin1"
"583","Gm5617"
"584","B230323A14Rik"
"585","B630019K06Rik"
"586","Magee1"
"587","Col4a5"
