"","epoch3"
"1","Fn1"
"2","Epha4"
"3","Pax3"
"4","Ncl"
"5","Gbx2"
"6","Dbi"
"7","Mapkapk2"
"8","Trove2"
"9","Ier5"
"10","Cacybp"
"11","Pea15a"
"12","Atp1a2"
"13","Enah"
"14","Capn2"
"15","Tgfb2"
"16","Nenf"
"17","Pou3f3"
"18","Fzd7"
"19","Bmpr2"
"20","Ptma"
"21","Phlda3"
"22","Kif26b"
"23","Plxna2"
"24","Abracl"
"25","Arg1"
"26","Rspo3"
"27","Marcks"
"28","Ddit4"
"29","H2afy2"
"30","Ddx21"
"31","Gamt"
"32","Ckap4"
"33","Atxn7l3b"
"34","Hmga2"
"35","Pa2g4"
"36","Cited2"
"37","Cd24a"
"38","Ppa1"
"39","Cstb"
"40","Bsg"
"41","Prtn3"
"42","Arid3a"
"43","Atp2b1"
"44","Csrp2"
"45","Phlda1"
"46","Lrig3"
"47","Atp5b"
"48","Cd63"
"49","Grb10"
"50","Meis1"
"51","Npm1"
"52","Ccng1"
"53","Pdlim4"
"54","Atox1"
"55","Kdm6b"
"56","Eif5a"
"57","Pfn1"
"58","6330403K07Rik"
"59","Hoxb5os"
"60","Hoxb3os"
"61","Meox1"
"62","Sost"
"63","Limd2"
"64","Sdk2"
"65","Jpt1"
"66","Tk1"
"67","Ccdc88a"
"68","Rnf130"
"69","Nhp2"
"70","9530068E07Rik"
"71","Mfap4"
"72","Myh10"
"73","Hes7"
"74","Trp53"
"75","Gabarap"
"76","Pimreg"
"77","Rab34"
"78","Vezf1"
"79","Hoxb9"
"80","Hoxb8"
"81","Hoxb7"
"82","Hoxb6"
"83","Hoxb5"
"84","Hoxb4"
"85","Hoxb3"
"86","Hoxb2"
"87","Hoxb1"
"88","Igfbp4"
"89","Fzd2"
"90","Axin2"
"91","Slc9a3r1"
"92","Rnf213"
"93","Slc16a3"
"94","Mycn"
"95","Greb1"
"96","Sox11"
"97","Cfl2"
"98","Baz1a"
"99","Trim9"
"100","Rtn1"
"101","Zfp36l1"
"102","Npc2"
"103","Foxn3"
"104","Akt1"
"105","Pdia6"
"106","Hpcal1"
"107","Pxdn"
"108","Twist1"
"109","Klhdc2"
"110","Tmx1"
"111","Dact1"
"112","Smoc1"
"113","Eml1"
"114","Zmynd11"
"115","Hist1h1e"
"116","Sox4"
"117","Ror2"
"118","Dbn1"
"119","H2afy"
"120","Ctsl"
"121","Rhobtb3"
"122","Nr2f1"
"123","Vcan"
"124","F2r"
"125","Ccnb1"
"126","Gli3"
"127","Foxc1"
"128","Cks2"
"129","Dapk1"
"130","Zfp503"
"131","2610528A11Rik"
"132","Tnfrsf19"
"133","Fzd3"
"134","Dpysl2"
"135","Dach1"
"136","Spry2"
"137","Top2b"
"138","Zmiz1"
"139","Il17rd"
"140","Wnt5a"
"141","Gdf10"
"142","Tsc22d1"
"143","Gpc6"
"144","Basp1"
"145","Csnk1e"
"146","Phf5a"
"147","Scube1"
"148","Yaf2"
"149","Fignl2"
"150","Laptm4b"
"151","Col14a1"
"152","Lgals1"
"153","H1f0"
"154","Hoxc10"
"155","Hoxc9"
"156","Hoxc4"
"157","Ranbp1"
"158","Igf2bp2"
"159","Fam162a"
"160","Dzip3"
"161","Bbx"
"162","Robo2"
"163","App"
"164","Snn"
"165","Lpp"
"166","Ccdc50"
"167","Fstl1"
"168","Senp7"
"169","Ttc3"
"170","Qk"
"171","Igf2r"
"172","Acat2"
"173","Dll1"
"174","Tubb5"
"175","Ptk7"
"176","Rftn1"
"177","Clic1"
"178","Ddah2"
"179","Ddx39b"
"180","Cdh2"
"181","Slc39a6"
"182","Nrep"
"183","Taf7"
"184","Zfp608"
"185","Fbn2"
"186","Tshz1"
"187","Zeb1"
"188","Colec12"
"189","Greb1l"
"190","Tubb6"
"191","Tcf4"
"192","Zadh2"
"193","Incenp"
"194","Tle4"
"195","Acta2"
"196","Scd1"
"197","Fads1"
"198","Scd2"
"199","Nolc1"
"200","Tubb4b"
"201","Uap1l1"
"202","Ptgds"
"203","Notch1"
"204","Pbx3"
"205","Baz2b"
"206","Rbms1"
"207","Fign"
"208","Stk39"
"209","Hoxd3os1"
"210","Frzb"
"211","Mdk"
"212","Fjx1"
"213","Rcn1"
"214","Meis2"
"215","Sall4"
"216","Vim"
"217","Commd3"
"218","Bmi1"
"219","Nrarp"
"220","Set"
"221","Prrx2"
"222","Rpl12"
"223","Sp5"
"224","Hoxd10"
"225","Hoxd9"
"226","Hoxd8"
"227","Hoxd1"
"228","Lmo2"
"229","Spred1"
"230","B2m"
"231","Dut"
"232","Eid1"
"233","Ism1"
"234","Top1"
"235","Tshz2"
"236","Gnas"
"237","Hey1"
"238","Ccna2"
"239","Maml3"
"240","Golim4"
"241","Fdps"
"242","Mllt11"
"243","Car14"
"244","Plekho1"
"245","Ptbp2"
"246","Lmo4"
"247","Adgrl2"
"248","Zfhx4"
"249","Fabp5"
"250","Crabp2"
"251","Mex3a"
"252","Lix1l"
"253","Slc16a1"
"254","Alx3"
"255","Gstm5"
"256","Psrc1"
"257","Lef1"
"258","Ppp3ca"
"259","Wls"
"260","Enho"
"261","Lpar1"
"262","Mllt3"
"263","Nasp"
"264","Cdc20"
"265","Zfp362"
"266","Draxin"
"267","Ajap1"
"268","Agrn"
"269","Chd7"
"270","Rragd"
"271","Smc2"
"272","Ssbp3"
"273","Txndc12"
"274","Phc2"
"275","Marcksl1"
"276","Rcc2"
"277","Eno1"
"278","Hes5"
"279","Cyp51"
"280","Dbf4"
"281","Nsg1"
"282","G3bp2"
"283","Hnrnpdl"
"284","Sparcl1"
"285","Dynll1"
"286","Aldh2"
"287","Auts2"
"288","Zfp113"
"289","Hmgb1"
"290","Cdk6"
"291","Kmt2e"
"292","Dpysl5"
