"","epoch1"
"1","Tuba4a"
"2","Ncl"
"3","Dbi"
"4","Cacybp"
"5","Enah"
"6","Terf1"
"7","Dst"
"8","Sgo2a"
"9","Igfbp2"
"10","Ptma"
"11","Ube2t"
"12","Phlda3"
"13","Fbxo5"
"14","Abracl"
"15","Tpd52l1"
"16","Marcks"
"17","Ddx21"
"18","Tet1"
"19","Col18a1"
"20","1190007I07Rik"
"21","Mdm2"
"22","Pa2g4"
"23","Akap12"
"24","Sgk1"
"25","Nodal"
"26","Ppa1"
"27","Chchd10"
"28","Cstb"
"29","Bsg"
"30","Gpx4"
"31","1500009L16Rik"
"32","Atp2b1"
"33","Csrp2"
"34","Atp5b"
"35","Cd63"
"36","Npm1"
"37","Hmmr"
"38","Ccng1"
"39","Sqstm1"
"40","Rad50"
"41","Atox1"
"42","Cenpv"
"43","Eif5a"
"44","Pfn1"
"45","Limd2"
"46","Jpt1"
"47","Gatsl3"
"48","Nhp2"
"49","Trp53"
"50","Gabarap"
"51","Slc9a3r1"
"52","Ubxn2a"
"53","Mycn"
"54","Cfl2"
"55","Npc2"
"56","Hsp90aa1"
"57","Ckb"
"58","Pdia6"
"59","Klhdc2"
"60","Crip2"
"61","Crip1"
"62","Hist1h1b"
"63","Serpinb6a"
"64","H2afy"
"65","Ctsl"
"66","Map1b"
"67","Ccnb1"
"68","Jarid2"
"69","Cks2"
"70","Emb"
"71","Slc7a7"
"72","Tdh"
"73","Esco2"
"74","Tsc22d1"
"75","Dnajc21"
"76","Basp1"
"77","Cbx7"
"78","Phf5a"
"79","Pmm1"
"80","Cenpm"
"81","Oxct1"
"82","Myo10"
"83","Lgals1"
"84","Tuba1c"
"85","Ranbp1"
"86","Etv5"
"87","Fam162a"
"88","Hspbap1"
"89","Dppa4"
"90","Dppa2"
"91","Cbr3"
"92","Ttc3"
"93","Ezr"
"94","Qk"
"95","Acat2"
"96","Ccnf"
"97","Tubb5"
"98","Slc29a1"
"99","Plin3"
"100","Tgif1"
"101","Hcfc1r1"
"102","Platr17"
"103","Clic1"
"104","Ddx39b"
"105","Dhx16"
"106","Gm26917"
"107","Gm42418"
"108","Epcam"
"109","Msh6"
"110","Taf7"
"111","Kif20a"
"112","Impa2"
"113","Tubb6"
"114","Cyb5a"
"115","Gng3"
"116","Incenp"
"117","Tle4"
"118","Gldc"
"119","Pdlim1"
"120","Avpi1"
"121","Scd1"
"122","Fth1"
"123","Klf9"
"124","Kif20b"
"125","Hells"
"126","Scd2"
"127","Nolc1"
"128","Ina"
"129","Tubb4b"
"130","Mdk"
"131","Sall4"
"132","Aurka"
"133","Tcfl5"
"134","Vim"
"135","Commd3"
"136","Set"
"137","Ak1"
"138","Rpl12"
"139","Rif1"
"140","Hat1"
"141","Pdk1"
"142","Nusap1"
"143","Dut"
"144","Dnmt3b"
"145","Top1"
"146","Gnas"
"147","Tpd52"
"148","Ccna2"
"149","Fdps"
"150","Gstm1"
"151","Stmn2"
"152","Fabp5"
"153","Car2"
"154","Sox2"
"155","Jade1"
"156","Sfrp2"
"157","Psrc1"
"158","Frrs1"
"159","Gclm"
"160","1810037I17Rik"
"161","Plekhf2"
"162","Nasp"
"163","Cdc20"
"164","Alpl"
"165","Zfp979"
"166","Agtrap"
"167","Rragd"
"168","Smc2"
"169","L1td1"
"170","Ssbp3"
"171","Prdx1"
"172","Slc2a1"
"173","Marcksl1"
"174","Rsrp1"
"175","Tcea3"
"176","Rcc2"
"177","Zfp990"
"178","Zfp985"
"179","Eno1"
"180","Cyp51"
"181","Dbf4"
"182","Mfsd10"
"183","Lrpap1"
"184","Grsf1"
"185","G3bp2"
"186","Hnrnpdl"
"187","Dynll1"
"188","Aldh2"
"189","Hmgb1"
"190","Lyar"
"191","Uchl1"
"192","Rest"
"193","Mtf2"
"194","Ung"
"195","Pla2g1b"
"196","Hspb1"
"197","Asns"
"198","Mkrn1"
"199","Igf2bp3"
"200","Tmsb10"
"201","Hk2"
"202","H1fx"
"203","Trh"
"204","Phc1"
"205","Gdf3"
"206","Slc2a3"
"207","Tpi1"
"208","Ptms"
"209","Cd9"
"210","Magohb"
"211","Ldhb"
"212","Bcat1"
"213","Mest"
"214","Hmces"
"215","Nanog"
"216","2810474O19Rik"
"217","Tmem238"
"218","Spint2"
"219","Ccne1"
