"","epoch1"
"1","Hspd1"
"2","Dbi"
"3","Prdx6"
"4","Hnrnpu"
"5","Enah"
"6","Terf1"
"7","Dst"
"8","Zdbf2"
"9","Igfbp2"
"10","Ptma"
"11","Phlda3"
"12","Tagln2"
"13","Pycr2"
"14","Abracl"
"15","Rps12"
"16","Marcks"
"17","Tet1"
"18","Cdk1"
"19","Col18a1"
"20","Pfkl"
"21","Mdm2"
"22","Akap12"
"23","Sgk1"
"24","Cd24a"
"25","Nodal"
"26","Ppa1"
"27","Chchd10"
"28","Cstb"
"29","Bsg"
"30","Gpx4"
"31","1500009L16Rik"
"32","Csrp2"
"33","Npm1"
"34","Ccng1"
"35","Pttg1"
"36","Sqstm1"
"37","Atox1"
"38","Cenpv"
"39","Eif5a"
"40","Pfn1"
"41","Epop"
"42","Top2a"
"43","Limd2"
"44","Jpt1"
"45","Galk1"
"46","Gatsl3"
"47","Upp1"
"48","Aurkb"
"49","Gabarap"
"50","Slc9a3r1"
"51","Birc5"
"52","Mycn"
"53","Cfl2"
"54","Npc2"
"55","Hsp90aa1"
"56","Ckb"
"57","Rrm2"
"58","Klhdc2"
"59","Calm1"
"60","Crip2"
"61","Crip1"
"62","Serpinb6a"
"63","Tubb2b"
"64","H2afy"
"65","Hmgcr"
"66","Ccnb1"
"67","Cks2"
"68","Emb"
"69","Slc7a7"
"70","Psme2"
"71","Tdh"
"72","Esco2"
"73","Tsc22d1"
"74","Basp1"
"75","Eef1d"
"76","Cbx7"
"77","Phf5a"
"78","Pmm1"
"79","Tuba1b"
"80","Racgap1"
"81","Myo10"
"82","Laptm4b"
"83","Ly6e"
"84","Tuba1c"
"85","Ranbp1"
"86","Etv5"
"87","Fam162a"
"88","Hspbap1"
"89","Dppa4"
"90","Dppa2"
"91","Cbr3"
"92","Ttc3"
"93","Ezr"
"94","Qk"
"95","Acat2"
"96","Tubb5"
"97","Slc29a1"
"98","Plin3"
"99","Tgif1"
"100","Srsf7"
"101","Srsf3"
"102","Cdkn1a"
"103","Platr17"
"104","Clic1"
"105","Ddah2"
"106","Ddx39b"
"107","Dhx16"
"108","Gm26917"
"109","Gm42418"
"110","Epcam"
"111","Msh6"
"112","Egr1"
"113","Cxxc5"
"114","Tubb6"
"115","Cyb5a"
"116","Malat1"
"117","Rtn3"
"118","Gng3"
"119","Incenp"
"120","Psat1"
"121","Gldc"
"122","Pdlim1"
"123","Avpi1"
"124","Npm3"
"125","Klf9"
"126","Scd2"
"127","Ina"
"128","Mdk"
"129","Rcn1"
"130","Sall4"
"131","Aurka"
"132","Commd3"
"133","Ak1"
"134","Hspa5"
"135","Rif1"
"136","Hat1"
"137","Pdk1"
"138","Hnrnpa3"
"139","Nusap1"
"140","Dut"
"141","Tpx2"
"142","Top1"
"143","Gnas"
"144","Tpd52"
"145","Ccna2"
"146","Fdps"
"147","Cks1b"
"148","Stmn2"
"149","Fabp5"
"150","Car2"
"151","Sox2"
"152","Jade1"
"153","Smc4"
"154","Psrc1"
"155","Gclm"
"156","Lef1"
"157","Cenpe"
"158","Pnrc1"
"159","Cdca8"
"160","Zfp979"
"161","L1td1"
"162","Ssbp3"
"163","Txndc12"
"164","Clspn"
"165","Sfpq"
"166","Marcksl1"
"167","Rsrp1"
"168","Tcea3"
"169","Rcc2"
"170","Zfp990"
"171","Zfp985"
"172","Cyp51"
"173","Dbf4"
"174","Mfsd10"
"175","G3bp2"
"176","Hnrnpdl"
"177","Dynll1"
"178","Aldh2"
"179","Pdgfa"
"180","Actb"
"181","Hmgb1"
"182","Cenpa"
"183","Lyar"
"184","Uchl1"
"185","Hspb1"
"186","Asns"
"187","Mkrn1"
"188","Igf2bp3"
"189","Tmsb10"
"190","Mthfd2"
"191","H1fx"
"192","Trh"
"193","Phc1"
"194","Gdf3"
"195","Slc2a3"
"196","Tpi1"
"197","Ptms"
"198","Gapdh"
"199","Cd9"
"200","Ybx3"
"201","Ldhb"
"202","Mest"
"203","2810474O19Rik"
"204","Spint2"
